"sent_no","sent_raw","syuzhet","bing","afinn","nrc"
1473,"But I struggled to understand what it told me about Miranda or, for that matter, about myself.",-0.5,-1,-1,0
1474,"In humans, recombination is infinitely subtle and then crudely but disarmingly lopsided.",0,0,0,0
1475,"The parents merge, like fluids stirred together, but the mother's face might be faithfully replicated in her child just as the father fails to pass on his gift for comedy.",2.1,1,3,3
1476,"I remembered little Mark's touching version of his father's features.",0,0,0,0
1477,"But in Adam's personality, Miranda and I were well shuffled, and as in humans, his inheritance was thickly overlaid by his capacity to learn.",2.2,1,0,2
1478,"Perhaps he had my tendency to pointless theorising.",-0.75,-1,-2,-1
1479,"Perhaps he had something of Miranda's secretive nature and her self-possession, her taste for solitude.",-0.5,-1,0,-2
1480,"Frequently he withdrew into himself, humming or murmuring ""Ah!""",0,-1,0,0
1481,"Then he would pronounce what he took to be an important truth.",1.75,1,2,2
1482,"His interrupted remark about the afterlife was the earliest example.",-0.75,0,-2,-1
1483,"Another was when we were outside, in my tiny fraction of a back garden, marked off by a broken picket fence.",-0.15,-2,-1,0
1484,"He was helping to pull up weeds.",0.25,1,2,0
1485,"It was just before sunset, the air was still and warm, suffused by an unreal amber light.",0.95,2,1,1
1486,"A week had passed since our late-night exchange.",0.25,0,0,0
1487,"I had brought him outside because his dexterity was still a matter of interest to me.",0.9,0,2,2
1488,"I wanted to watch him handle a hoe and a rake.",0,0,0,0
1489,"More generally, my plan was to introduce him to the world beyond the kitchen table.",0,0,0,0
1490,"We had friendly neighbours on both sides and there was a chance that he could test his small-talk skills.",1,1,4,1
1491,"If we were to travel together to Salisbury to meet Maxfield Blacke, I wanted to prepare Adam by taking him to some shops, and perhaps a pub.",0.1,0,0,1
1492,"I was sure he could pass off as a person, but he needed to be more at ease, his machine-learning capacities needed stretching.",0.75,1,2,2
1493,"I was keen to see how good he was at identifying plants.",1.5,2,4,1
1494,"Of course he knew everything.",0,0,0,0
1495,"Feverfew, wild carrot, camomile.",-0.25,-1,0,-1
1496,"As he worked, he muttered the names, for his own rather than my benefit.",1,2,2,1
1497,"I saw him put on gardening gloves to pull up nettles.",0,0,0,1
1498,"Mere mimicry.",-0.6,0,0,-1
1499,"Later he straightened and looked with apparent interest towards a spectacular western sky intersected by power and telephone lines and a receding jumble of Victorian roofs.",1.3,1,1,1
1500,"His hands were on his hips and he leaned back, as though his lower back was giving him trouble.",-0.25,-1,-2,0
1501,"He took a deep breath to indicate his appreciation of the evening air.",0.75,0,2,1
1502,"Then, out of nowhere, he said, ""From a certain point of view, the only solution to suffering would be the complete extinction of humankind.""",0.3,-1,0,0
1503,"Yes, this was why he needed to be out and about.",0.8,0,1,0
1504,"Buried within his circuitry there was probably a set of sub-routines: sociability/conversation/interesting openers.",0.15,1,2,0
1505,"But I decided to join in.",0.25,0,1,1
1506,"""it is been said that killing everyone would be a cure for cancer.",-0.5,-1,-4,-2
1507,"Utilitarianism can be logically absurd.""",-0.75,-1,0,-1
1508,"He replied, ""Obviously!""",0,0,0,0
1509,"in an abrupt manner.",-0.25,-1,0,0
1510,"I looked at him, surprised, and he turned away from me and bent again to his work.",-0.15,0,0,0
1511,"Adam's insights, even when valid, were socially inept.",-0.5,-1,-2,-1
1512,"On our first expedition away from home, we walked the 200 yards to our local newsagent, Mr. Syed.",0.6,0,0,1
1513,"We passed a few people in the street and no one gave Adam a second glance.",0,0,-1,0
1514,"That was satisfying.",1,1,0,0
1515,"Over bare skin he was wearing a tight yellow jumper, knitted by my mother in her last year.",0,0,0,0
1516,"He had white jeans and canvas loafers, bought for him by Miranda.",0.4,0,0,1
1517,"She had promised to buy him a complete outfit of his own.",0.5,1,1,0
1518,"With his neat muscular bulge of chest and arms, he could have passed for a personal trainer from the local gym.",1.4,1,0,1
1519,"Where the pavement narrowed between a tree and a garden wall, I saw how he stood aside to let a woman with a pushchair through.",0.6,0,0,2
1520,"As we neared the shop he said, somewhat absurdly, ""it is good to get out.""",-0.05,0,3,1
1521,"Simon Syed had grown up in a large village thirty miles north of Calcutta.",0,0,0,0
1522,"His English teacher at his school had been an Anglophile, a martinet who had beaten into his pupils a courteous and precise English.",0.5,2,0,3
1523,"I had never asked Simon how or why he had taken on a Christian forename.",0,0,0,0
1524,"Perhaps a desire to integrate, or the parting insistence of his formidable teacher.",0.25,1,1,1
1525,"He had arrived in north Clapham from Calcutta in his late teens and immediately went to work in his uncle's shop.",0,1,0,-1
1526,"Thirty years later, the uncle had died and the shop passed to the nephew, who still supported his aunt from the proceeds.",0.5,0,-1,2
1527,"He also supported a wife and three grown-up children, but he did not like to talk about them.",1.65,2,4,2
1528,"He was a Muslim, by culture rather than practice.",1,0,0,2
1529,"If there was sadness in his life, it was well concealed behind a dignified manner.",0.3,1,0,-1
1530,"Now in his mid-sixties, he was sleek, bald, very correct, with a small moustache that taWhispered to sharp points.",1.1,3,0,0
1531,"There was an anthropology journal, not available on the Internet, that he kept for me.",0.8,1,0,0
1532,"He did not mind when I came in to scan the world's front pages during the Task Force days.",-0.85,0,0,0
1533,"He was amused by my taste for low-grade chocolate--those global brands invented between two world wars.",0.5,0,3,2
1534,"In the mid-afternoons, after hours at my screen, I craved sugar.",-0.25,0,0,1
1535,"In that strange way by which one reserves intimacies for a mere acquaintance, I had told Simon about my new girlfriend.",0.3,-1,-1,0
1536,"When she and I had been in the shop together, he had seen for himself.",0,0,0,0
1537,"Now, whenever I came by, his first question was always, ""How are matters proceeding?""",0,0,1,1
1538,"He liked to tell me, on the basis of nothing but kindness, ""it is clear.",1.5,3,5,1
1539,"Her fate is you.",-0.25,0,0,-1
1540,"No dodging it!",-0.25,0,-3,0
1541,"Eternal happiness for you both.""",0.75,1,3,1
1542,"I sensed that many disappointments were heaped behind him.",-0.75,-1,-2,0
1543,"He was old enough to be my father and wanted for me what had eluded him.",-0.25,1,0,0
1544,"There were no other customers when Adam and I entered the cramped shop with its compound scent of newsprint, peanut dust and cheap toiletries.",-1.5,-3,-1,-3
1545,"Simon rose from the wooden chair he sat on behind the till.",0,0,1,0
1546,"Because I was not alone, he would not be asking the usual question.",-0.2,0,-2,2
1547,"I made the introduction.",0,0,0,0
1548,"""Simon.",0,0,0,0
1549,"My friend Adam.""",0.8,0,1,1
1550,"Simon nodded.",0,0,0,0
1551,"Adam said, ""Hello,"" and smiled.",0.8,0,2,0
1552,"I was reassured.",0.5,0,1,0
1553,"A good start.",0.75,1,3,1
1554,"If Simon had noticed the strange appearance of Adam's eyes, he did not show it.",-0.5,-1,-1,0
1555,"It was a common reaction, I would soon discover.",0,0,0,0
1556,"People assumed a congenital deformity and politely looked away.",0,0,-2,-1
1557,"Simon and I discussed the cricket--three consecutive sixes and a pitch invasion at the India--England T20--while Adam stood apart before an array of canned goods on a shelf.",0,0,-1,1
1558,"They would be instantly familiar to him, their commercial histories, market share, nutritional value.",1.05,1,1,2
1559,"But as we chatted, it was obvious he was not looking at tins of peas, or anything at all.",0,0,0,1
1560,"His face was frozen.",-0.25,-1,0,0
1561,"He had not moved in two minutes.",0,0,0,0
1562,"I worried that something unusual or unpleasant was about to happen.",-2.1,-3,-5,-2
1563,"Simon politely pretended he had not noticed.",0.75,0,0,-1
1564,"It was possible that Adam had put himself in rest mode.",0,0,0,1
1565,"I made a mental note: he was in need of an appearance of plausibility whenever doing nothing.",0,0,0,0
1566,"His eyes were open, but he failed to blink.",-0.5,-1,-2,0
1567,"Perhaps I had brought him out into the world too soon.",0,0,0,0
1568,"Simon would be offended that I had tried to pass off Adam as a person, a friend.",0.05,0,-1,0
1569,"It could look like mockery, a tasteless joke.",0.1,-1,4,-3
1570,"I would have betrayed a pleasant acquaintance.",0,1,0,1
1571,"The cricket banter began to falter.",-0.75,-1,0,-1
1572,"Simon's gaze settled on Adam, then returned to me.",0,0,0,0
1573,"He said tactfully, ""Your Anthropos is in.""",0,0,0,0
1574,"It was my prompt to go over to the magazines, where Adam stood.",0.6,1,0,0
1575,"Years ago, Simon had cleared his top shelf of soft porn in favour of specialist stuff--literary magazines, academic bulletins of international relations, history, entomology.",0.9,4,5,1
1576,"A fair number of ageing, down-at-heel intellectuals lived in the neighbourhood.",0.75,1,2,0
1577,"As I turned away he added, ""You can get it yourself?""",0,0,0,0
1578,"A gentle tease to lower the tension.",0,-1,-1,-2
1579,"Simon was taller and he usually reached up for me.",0,0,1,0
1580,"A single word brought Adam to life.",0,0,0,1
1581,"With the faintest whirring sound, which I hoped only I could hear, he turned to address Simon in formal terms.",0,0,0,0
1582,"""Yourself, you say.",0,0,0,0
1583,"there is a coincidence.",0,0,0,0
1584,"I have been giving some thought lately to the mystery of the self.",-0.15,-1,0,1
1585,"Some say it is an organic element or process embedded in neural structures.",0.4,0,0,1
1586,"Others insist that it is an illusion, a by-product of our narrative tendencies.""",-0.5,-1,0,-1
1587,"There was a silence, then, stiffening a little, Simon said, ""Well, sir, which is it?",1.05,1,0,1
1588,"What have you decided?""",0,0,0,0
1589,"""it is the way I am made.",0,0,0,0
1590,"I am bound to conclude that I have a very powerful sense of self and I am certain that it is real and that neuroscience will describe it fully one day.",1.95,1,3,3
1591,"Even when it does, I will not know this self any better than I do now.",0.8,1,2,0
1592,"But I do have moments of doubt when I wonder whether I am subject to a form of Cartesian error.""",-1.75,-1,-3,-3
1593,"By this time I had the journal in my hands and was preparing to leave.",-0.25,0,-1,-1
1594,"""Take the Buddhists,"" Simon said.",0,0,0,0
1595,"""They prefer to get along without a self.""",0.1,1,0,1
1596,"""Indeed.",0,0,0,0
1597,"I would like to meet one.",0.5,1,2,0
1598,"Do you know any?""",0,0,0,0
1599,"Simon was emphatic.",-0.25,-1,0,0
1600,"""No, sir.",0.25,0,-1,1
1601,"Absolutely, I do not.""",0,0,0,0
1602,"I raised a hand in farewell and thanks and, taking Adam by his elbow, guided him towards the door.",0.6,0,2,0
1603,"It was a cliche of romantic love, but no less painful for that: the stronger my feelings, the more remote and unattainable Miranda appeared.",-0.05,1,2,0
1604,"How could I complain when she was attained that very first night, after dinner?",-0.15,-1,-2,0
1605,"We had fun, we talked easily, we ate and slept together most nights.",0.75,1,4,1
1606,"But I was greedy for more, though I tried not to show it.",-0.75,-1,-2,-1
1607,"I wanted her to open up to me, to want me, need me, show some hunger for me, some delight in me.",0.4,1,2,1
1608,"Instead, my initial impression held-- she could take me or leave me.",-0.15,0,-1,0
1609,"Everything good that passed between us--sex, food, movies, new plays--was instigated by me.",1.95,1,3,3
1610,"Without me she drifted in silence towards her default condition upstairs, to a book on the Corn Laws, a bowl of cereal, a cup of weak herbal tea, curled up in an armchair, barefoot and oblivious.",-0.5,-2,-2,0
1611,"Sometimes she sat for long periods without a book.",0,0,0,0
1612,"If I put my head round her door (we now had keys to each other's places) and said, ""How about an hour of frantic sex?""",-0.65,-1,-1,0
1613,"she would say calmly, ""OK,"" and we would go into her or my bedroom and she would rise splendidly to her pleasures and mine.",1.8,1,1,0
1614,"When we were done she would take a shower and return to her chair.",0,0,0,0
1615,"Unless I suggested something else.",0,0,0,0
1616,"A glass of wine, a risotto, an almost famous sax player at a Stockwell pub.",0.4,1,2,0
1617,"OK again.",0,0,0,0
1618,"To everything I proposed, indoors or out, she brought the same tranquil readiness.",1.75,1,2,2
1619,"Happy to hold my hand.",0.75,1,3,1
1620,"But there was something, or many things, I did not understand, or she did not want me to know about.",0,0,1,0
1621,"Whenever she had a seminar or needed to use the library, she returned from college in the late afternoons.",0.35,0,0,0
1622,"Once a week she came back later.",0,0,0,0
1623,"It took me a while to notice that it was always a Friday.",0,0,0,0
1624,"Finally she told me that she went to the Regent's Park Mosque for Friday prayers.",0.4,0,0,1
1625,"That surprised me.",0,0,0,0
1626,"But no, she was not thinking of converting from atheism.",-0.1,0,-1,-1
1627,"She had in mind a social-history paper she might write.",0,0,0,0
1628,"I was not convinced, but I let it go.",0.6,0,1,0
1629,"What we lacked was conversational intimacy.",0.9,0,2,1
1630,"We were closest when we argued about the Task Force.",-0.85,0,0,0
1631,"When we went to a bar, her conversation was general.",0.4,0,0,1
1632,"She was happy with her solitude or with lively chat about public matters, but there was nothing personal in between, except her father's health or his literary career.",1.5,2,6,3
1633,"When I tried to ease us towards the past, perhaps angling in gently with something about myself or a question about her own history, she reached quickly for generalities or an account of the earliest years of her childhood, or an anecdote about someone she knew.",1.6,1,3,2
1634,"I told her about my idiotic excursion into tax fraud, my experience of court and the tedium of my hours of community service.",-2.4,-2,-7,-3
1635,"I would have told her anyway, but the story was my pretext to ask if she herself had ever been in court.",0,0,0,0
1636,"The answer was abrupt.",-0.25,-1,0,0
1637,"Never!",0,0,0,0
1638,"And then she changed the subject.",0,0,0,-1
1639,"I would been in various promising affairs and in love, or almost in love, two or three times before, depending on definitions.",1.25,2,3,2
1640,"I fancied myself an expert and knew better than to put her under pressure.",0.9,1,1,0
1641,"I still thought I might get more out of Adam on the Salisbury affair.",0,0,0,0
1642,"If I did not know her secret, at least she did not know I knew she had one.",0,0,0,0
1643,"Tact was everything.",0.4,0,0,1
1644,"I still had not told her that I loved her, or divulged my fantasies about our shared future or even hinted at my frustration.",0.3,0,2,-1
1645,"I left her alone with her books or her thoughts whenever it suited her.",-0.6,0,0,0
1646,"Though the subject was not in the line of my interests, I worked up an acquaintance with the Corn Laws and developed some ideas of my own about free trade.",1.25,3,2,-1
1647,"She did not dismiss them, but nor was she impressed.",0.5,1,3,0
1648,"So here we were upstairs at dinner in her kitchen, which was even smaller than mine.",0.6,0,0,1
1649,"The table was of white moulded plastic, just big enough for two, probably stolen from a pub garden by a previous tenant.",0.25,0,-1,2
1650,"Standing at the sink, up to his elbows in suds, Adam dealt with the plates and cutlery we would handed him at the end of our meal--toad-in-the-hole, baked beans, fried eggs.",-0.25,-2,0,0
1651,"Student food.",0.4,0,0,1
1652,"On the windowsill, where yellow gingham curtains hung still in our late-summer heat wave, a radio was playing the Beatles, recently regrouped after twelve years apart.",0,-1,0,0
1653,"Their album, Love and Lemons, had been derided for its grandiosity, for failing to resist the lure and overreach of an eighty-strong symphony orchestra.",-2.35,-1,1,0
1654,"They could not master such forces, was the general drift, with half a lifetime's store of guitar chords.",0.4,1,0,3
1655,"Nor did we wish to be told again, the Times critic complained, that love was all we needed, even if it were true, which it was not.",0.55,-1,2,1
1656,"But I liked the music's muscular sentimentality, emptied of irony by these middle-aged performers, so confident and tuneful, liberated by useful ignorance of two and a half centuries of symphonic experimentation.",2.35,1,3,2
1657,"Lennon's rasping voice floated towards us from some faraway echoing place beyond the horizon, or the grave.",-0.25,0,-2,0
1658,"I did not mind being told again about love.",0.75,1,3,1
1659,"Here before me were all of its warm possibilities, barely three feet away, and it was all I needed.",0.5,1,1,0
1660,"Here was her long, exquisitely shaped face (those angled cheekbones might break through the skin one day), the amused gaze, at this point still merry, and narrowed, locked on me, the lips parted, for she was about to speak against what I would just said.",2,1,6,3
1661,"Her perfect elongated nose flared faintly at the base of the nostrils' arch to signal in advance her dissent.",0.95,0,3,2
1662,"Her pallor set off her fine brown hair, tonight childishly parted dead centre.",-0.75,0,-1,0
1663,"Against prevailing fashion, she kept out of the sun.",0.6,0,0,1
1664,"Her bare white arms were also thin and unblemished--not a single freckle.",0.4,0,0,1
1665,"From my point of view we still holidayed in the foothills, among possibilities whose fulfilment rose like distant alps.",0.5,1,3,0
1666,"I tried to ignore them in order to attend to details.",-0.75,-1,-1,-1
1667,"From her perspective, on the other side of this frail table, we may have already reached our highest point.",-0.8,-1,1,0
1668,"She may have thought she was as close as she ever wanted to be, or could be, to another person.",0,0,0,0
1669,"Love stories like Jane Austen's used to conclude chastely with preparations for a wedding.",1.25,2,5,1
1670,"Now their climax lay on the far side of carnal knowledge, where all of complexity waited.",1.25,0,0,0
1671,"For now, my business was to conduct a political argument with her without feelings running high, then turning sour, and at the same time stay true to myself and let her do the same.",-0.8,-1,2,-1
1672,"It was a feasible balancing act, as long as I drank less than half a bottle of the indifferent Medoc that stood between us.",-0.1,0,-2,0
1673,"we would had this conversation before and it should have been easier now, but repetition seemed like an indictment of us both.",0.8,2,2,-1
1674,"We did not really want to be talking about it.",0,0,1,0
1675,"Impossible to avoid, even though we knew it would lead nowhere.",-0.75,0,-1,-1
1676,"But this was how it was for everyone.",0,0,0,0
1677,"We were all still tending the wound.",-0.5,-1,0,-1
1678,"How could Miranda and I spend our lives together when we could not agree on such a fundamental as war?",0.1,0,-1,1
1679,"About the islands formerly known as the Falklands she had firm views.",0,0,0,0
1680,"She insisted that the Argentine flag-planting on remote South Georgia had been a clear violation of international law.",0,0,-1,-1
1681,"I said it was an inhospitable place and no one should be asked to fight to the death for it.",-1.75,-2,-4,-3
1682,"She said that the taking of Port Stanley was the desperate act of an unpopular regime looking to whip up patriotic fervour.",-0.9,-1,-3,-3
1683,"I said this was all the more reason not to get drawn in.",0.6,0,0,1
1684,"She said the Task Force was a brave and brilliant conception, even in failure.",-0.1,1,4,0
1685,"I said, uneasily remembering my emotional state when the ships set off, that it was a ridiculous enactment of lost imperial grandeur.",-1.75,-2,-6,-1
1686,"How could I not see, she said, that this was an antifascist war?",-0.5,0,-2,-1
1687,"No (I spoke over her), it was a row over property, fed on each side by nationalistic stupidity.",-0.75,-1,-4,-3
1688,"I summoned the Borges observation: two bald men fighting over a comb.",-0.8,0,-2,-1
1689,"She replied that a bald man might hand down his comb to his children.",0,0,0,0
1690,"I was struggling to understand this when she added that the generals had tortured, disappeared and killed their citizens by the thousands and were running the economy into the ground.",-2.35,-3,-10,0
1691,"If we would taken back the islands, the humiliation would have finished the military regime and democracy would have returned to Argentina.",-0.35,-1,-3,0
1692,"I replied that she could not possibly know this.",0,0,0,0
1693,"We had lost thousands of young men and women to the because of Mrs. Thatcher's ambitions.",-0.6,-1,-3,0
1694,"My voice began to rise before I remembered.",0,0,1,0
1695,"I resumed quietly but with a certain tremor: that she remained in office after such slaughter was the greatest political scandal of our time.",-0.95,-1,-1,-3
1696,"I delivered this with a finality that deserved a moment's respectful silence, but Miranda came straight back to tell me that the prime minister failed in a decent because and was supported by almost all of Parliament and the country and she was right to remain in office.",3.25,3,1,5
1697,"During this conversation, Adam finished with the dishes and stood with his back to the kitchen sink to watch us, arms folded, his head turning from side to side, speaker to speaker, like a spectator at a tennis match.",0.25,0,2,0
1698,"Our exchange was not exactly weary, but repetition had given it an air of ritual.",-0.5,-1,-2,0
1699,"Like facing armies, we would taken up our positions and intended to hold them.",0.25,1,2,1
1700,"Miranda was telling me that the Task Force set off without proper ship-to-air missiles.",-0.35,1,0,1
1701,"The chiefs of staff let the armed forces down.",0,0,0,0
1702,"I used to hear terms like these--ship-to-air, homing devices, titanium-tipped--at the Warwickshire student union bar, but only from men, men of the political left, whose opinions were complicated by tacit admiration for the weapon systems they condemned.",0.25,0,0,0
1703,"In her soft and fluent delivery, she mingled these with other concepts from the lexicon of established power--the open society, rule of law, restoration of democracy.",2.5,2,0,3
1704,"Perhaps it was her father I was hearing.",0,0,0,-1
1705,"While she was speaking, I turned to catch Adam's expression.",0,0,0,0
1706,"What I saw was his devoted attention.",1.05,0,3,1
1707,"More than that.",0,0,0,0
1708,"A look of delight.",1,1,3,1
1709,"He adored what she was saying.",0.5,1,3,0
1710,"I turned back to Miranda as she reminded me that the Falklanders were my fellow citizens, now living under fascism.",-0.6,-1,0,1
1711,"Was I happy with that?",0.75,1,3,1
1712,"I disliked this rhetorical turn.",-0.75,-2,-2,-1
1713,"It was a masked insult.",-1,-1,-2,-1
1714,"The conversation was turning sour, just as I would feared, but I could not help myself.",-0.5,-1,2,-1
1715,"In the tiny kitchen space, I was hot and irritable as I reached for the wine and filled my glass.",-0.75,0,1,-1
1716,"There could have been a negotiated settlement, I started to say.",0,0,1,0
1717,"A slow and painless thirty-year transition, a UN mandate, guaranteed rights.",0.75,0,0,0
1718,"She interrupted to inform me that we could never trust any undertaking by the murdering generals.",-1.25,1,-4,-1
1719,"As she said it, I saw them in caricature, in braided hats, campaign ribbons, cavalry boots, and Galtieri on his white horse in a confetti blizzard on the Avenida 25 de Mayo.",-0.35,-1,0,0
1720,"I said that I accepted every last one of her arguments.",0.8,0,1,0
1721,"The forces set off on their 8,000-mile mission, her risky strategy was tested and it failed.",-1,-2,-4,-1
1722,"Thousands she never knew or cared about were drowned or burned to death, or live on, maimed, disfigured, traumatised.",-3.15,-2,-4,-2
1723,"we have arrived at the worst outcome: the junta possessed the island and its inhabitants.",-1.6,-1,-3,-1
1724,"Whereas a policy of slow, negotiated agreement was not tested, but if it had failed we would have reached the same outcome, without the agony and death.",-1.75,-4,-2,0
1725,"We could not know.",0,0,0,0
1726,"What might have happened was lost to us.",-0.75,-1,-3,-1
1727,"So what was there to argue about?",-0.5,0,0,-1
1728,"I saw that the glass I would filled, and had no memory of touching, was empty.",-0.25,0,-2,0
1729,"And I was wrong.",-0.75,-1,-2,-1
1730,"There was plenty to argue about, for even as I said it, I knew I was crossing a line.",-0.5,0,0,-1
1731,"I had accused her of not caring about the dead, and she was angry.",-2.25,-2,-6,-2
1732,"Her eyes were narrowed, without merriment, but she did not address my transgression.",0,0,0,0
1733,"Instead, she turned to Adam and asked quietly, ""what is your view?""",0,0,0,0
1734,"His gaze travelled from her to me and back.",0,0,0,0
1735,"I still did not know whether he actually saw anything.",0,0,0,0
1736,"An image on some internal screen that no one was watching, or some diffused circuitry to orient his body in three-dimensional space?",0,0,-1,0
1737,"Seeming to see could be a blind trick of imitation, a social manoeuvre to fool us into projecting onto him a human quality.",-2.25,-3,-1,-4
1738,"But I could not help it: when our eyes briefly met and I looked into the blue irises flecked with spears of black, the moment appeared rich with meaning, with anticipation.",0.5,1,5,-1
1739,"I wanted to know whether he understood, as I did, and as Miranda surely did, that the issue here was loyalty.",0.75,0,3,1
1740,"His tone was prompt and calm.",1.35,2,2,1
1741,"""Invasion, success or failure.",-0.6,0,-1,-1
1742,"Negotiated settlement, success or failure.",0,0,1,0
1743,"Four outcomes or effects.",0,0,0,0
1744,"Without benefit of hindsight, we would have to choose which causes to pursue, which to avoid.",0.25,1,1,0
1745,"we would be in the realm of Bayesian inverse probability.",0,0,0,0
1746,"we would be looking for the probable because of an effect rather than the most likely effect of a because.",0,0,0,0
1747,"Only sensible, to try and find a formal representation of our guesswork.",0.8,1,0,0
1748,"Our reference point, our datum, would be an observer of the Falklands situation before any decisions were taken.",0,0,0,0
1749,"Certain a priori probability values are ascribed to the four outcomes.",0.8,0,1,0
1750,"As fresh information comes in, we can measure relative changes in probability.",0.9,1,1,1
1751,"But we can not possess an absolute value.",-0.25,0,0,2
1752,"It may help us to define the weight of new evidence logarithmically, so that, assuming a base ten--""",0.8,0,2,0
1753,"""Adam.",0,0,0,0
1754,"Enough!",-0.25,1,0,0
1755,"Really.",0,0,0,0
1756,"What nonsense!""",-0.75,-1,-2,-1
1757,"Now it was Miranda who reached for the Medoc.",0,0,1,0
1758,"I was relieved to be no longer the object of her irritation.",0.25,-2,1,-1
1759,"I said, ""But Miranda and I would ascribe completely different a priori values.""",0.4,0,0,1
1760,"Adam turned his head towards me.",0,0,0,0
1761,"As always, too slowly.",-0.25,-1,0,0
1762,"""Of course.",0,0,0,0
1763,"As I said, when describing the future there can be no absolute values.",-0.25,0,-1,1
1764,"Only shifting degrees of likelihood.""",0,0,0,0
1765,"""But they are entirely subjective.""",0,0,0,0
1766,"""Correct.",0.6,1,0,0
1767,"Ultimately Bayes reflects a state of mind.",0.4,0,0,1
1768,"As does all of common sense.""",0,0,0,1
1769,"Then nothing was solved, despite this high gloss of rationality.",1.4,0,1,1
1770,"Miranda and I had different states of mind.",0,0,0,0
1771,"What was new?",0.8,0,0,0
1772,"But we were united against Adam in our differences.",0.5,0,1,1
1773,"At least, this was my hope.",0.5,0,2,1
1774,"He may have understood the relevant issue after all: he thought I was right about the Falklands and, given a degree of programmed intellectual honesty, the best he could offer Miranda, to whom he was also loyal, was an appearance of neutrality.",4.5,3,6,6
1775,"But if that was sound, why not accept the mirror possibility, that he believed Miranda was right and I was the one in receipt of loyal support?",3.3,3,6,1
1776,"With a sudden scrape of a kitchen chair, Miranda stood.",-0.25,0,0,0
1777,"There was a faint flush about her face and throat and she was not looking at me.",-1.2,-1,0,1
1778,"we would be sleeping in separate beds that night.",0,0,0,0
1779,"I would have happily unsaid my entire argument to stay with her.",-0.55,1,0,0
1780,"But I was dumb.",-0.75,-1,-3,-1
1781,"She said to Adam, ""You can stay up here to charge, if you like.""",0.5,1,2,0
1782,"Adam needed six hours a night connected to a thirteen amp socket.",0,0,0,0
1783,"He went into sleep mode and sat quietly ""reading"" until after dawn.",0.6,1,0,2
1784,"Usually he was in my kitchen downstairs, but recently Miranda had bought a second charging cable.",0,0,0,0
1785,"He murmured his thanks and slowly folded a kitchen towel in half with close attention, hunched over the task, and spread it across the draining board.",0.35,-2,2,2
1786,"As she moved towards her bedroom door she shot me a look, a regretful smile that did not part her lips, sent a conciliatory kiss across the space between us and whispered, ""Just for tonight.""",0.95,1,2,1
1787,"So we were fine.",0.25,1,2,0
1788,"I said, ""Of course I know you care about the dead.""",0,-1,-1,0
1789,"She nodded and left.",0,0,0,0
1790,"Adam was sitting down, pulling his shirt clear of his belt to locate the tethering point below his waistline.",0.5,1,1,-1
1791,"I put a hand on his shoulder and thanked him for clearing up.",0,0,0,1
1792,"For me, it was far too early for bed and it was hot, like a summer evening in Marrakech.",0.25,2,2,0
1793,"I went downstairs and looked in the fridge for something cool.",0.75,1,1,1
1794,"I remained in the kitchen, in an old leather armchair, with a balloon glass of Moldovan white.",0.4,0,0,1
1795,"There was much pleasure in following a line of thought without opposition.",0,0,3,-1
1796,"I was hardly the first to think it, but one could see the history of human self-regard as a series of demotions tending to extinction.",0,1,0,0
1797,"Once we sat enthroned at the centre of the universe, with sun and planets, the entire observable world, turning around us in an ageless dance of worship.",2.05,0,0,3
1798,"Then, in defiance of the priests, heartless astronomy reduced us to an orbiting planet around the sun, just one among other rocks.",-0.4,-2,-2,-1
1799,"But still we stood apart, brilliantly unique, appointed by the creator to be lords of everything that lived.",2.2,1,0,1
1800,"Then biology confirmed that we were at one with the rest, sharing common ancestry with bacteria, pansies, trout and sheep.",-0.1,0,0,1
1801,"In the early twentieth century came deeper exile into darkness when the immensity of the universe was revealed and even the sun became one among billions in our galaxy, among billions of galaxies.",-0.65,-2,-1,-1
1802,"Finally, in consciousness, our last redoubt, we were probably correct to believe that we had more of it than any creature on earth.",1.15,1,0,1
1803,"But the mind that had once rebelled against the gods was about to dethrone itself by way of its own fabulous reach.",0.5,1,5,0
1804,"In the compressed version, we would devise a machine a little cleverer than ourselves, then set that machine to invent another that lay beyond our comprehension.",0,0,0,0
1805,"What need then of us?",0,0,0,0
1806,"Such hot-air thoughts deserved a second, bigger balloon and I poured it.",0.25,1,0,1
1807,"Head propped in my right palm, I approached that ill-lit precinct where self-pity becomes a mellow pleasure.",1.3,1,-1,-2
1808,"I was a special case of the general banishment, though it was not Adam I was thinking of.",0.7,-1,0,0
1809,"He was not cleverer than me.",0,0,0,0
1810,"Not yet.",0,0,0,0
1811,"No, my exile was for one night only and it gave a twist of sweet, bearable agony to a hopeless love.",-0.5,-2,2,-1
1812,"My shirt unbuttoned to the waist, all windows open, the urban romance of getting thoughtfully drunk amid the heat and dust and muted din of north Clapham, in a world city.",0.25,-2,0,-1
1813,"The imbalance of our affair was heroic.",0.2,0,3,1
1814,"I imagined an onlooker's approving gaze from a corner of the room.",1,0,0,1
1815,"That well-formed figure slumped in his beaten-up chair.",0,1,-2,0
1816,"I rather loved myself.",0.5,1,3,0
1817,"Someone had to.",0,0,0,0
1818,"I rewarded myself with thoughts of her, mid-ecstasy, and considered the impersonal quality of her pleasures.",0.5,0,4,1
1819,"I was only good enough for her, as many men might be.",0.5,2,3,1
1820,"I refused the obvious, that her distance was the whip that drove my longing.",-1.25,-2,-3,-1
