,sent_no,sent_raw,syuzhet,bing,afinn,nrc,char_len,token_len,sent_clean,syuzhet_stdscaler,syuzhet_medianiqr,syuzhet_lnorm_stdscaler,syuzhet_lnorm_medianiqr,bing_stdscaler,bing_medianiqr,bing_lnorm_stdscaler,bing_lnorm_medianiqr,afinn_stdscaler,afinn_medianiqr,afinn_lnorm_stdscaler,afinn_lnorm_medianiqr,nrc_stdscaler,nrc_medianiqr,nrc_lnorm_stdscaler,nrc_lnorm_medianiqr,syuzhet_roll10,bing_roll10,afinn_roll10,nrc_roll10,mean_roll10,syuzhet_roll10_stdscale,bing_roll10_stdscale,afinn_roll10_stdscale,nrc_roll10_stdscale
958,959,"958,""Who do you mean, my dear?""",0.5,0,2,1,31,6,do you mean my dear,0.021893565243174193,0.25,0.7359114360323006,1.2203449689294228,-0.17447413877675547,0.0,-0.12345552172010059,0.0,0.4240854820377771,1.0,1.3779937357079153,3.0525963652223975,0.2438417481427797,1.0,1.406392410636708,2.330282861896839,0.6404074702886257,0.38879456706281834,1.1154499151103565,0.801358234295416,0.7365025466893041,1.267035517579147,1.291068133119245,1.3126669338194334,1.2284184871657844
959,960,"959,""I know of nobody that is coming, I am sure, unless Charlotte Lucas should happen to call inand I hope _my_ dinners are good enough for her.""",1.0,2,5,2,145,27,know of nobody that is coming i am sure unless charlotte lucas should happen to call inand i hope my dinners are good enough for her,0.43501013426155843,0.75,0.17623907271326417,0.4197337452561789,1.3001702680150182,2.0,0.6481993592059563,1.555720103665309,1.47910557269848,2.5,0.6855641084928585,1.6980844275256022,0.9085672170502831,2.0,0.4536843666009135,1.0370233246945575,0.6410865874363336,0.38879456706281834,1.1188455008488964,0.8030560271646859,0.7379456706281836,1.2718978261968372,1.291068133119245,1.325001836391457,1.2400219969793962
960,961,"960,I do not believe she often sees such at home.",0.0,0,0,0,49,10,do not believe she often sees such at home,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,0.643039049235994,0.3904923599320883,1.1222410865874364,0.8064516129032258,0.740556027164686,1.2858769634726965,1.304335864796983,1.3373367389634807,1.2632290166066191
961,962,"961,""The person of whom I speak is a gentleman, and a stranger.""",0.5,-1,0,0,64,12,person of whom i speak is a gentleman and a stranger,0.021893565243174193,0.25,0.23210343969678612,0.49964771303756317,-0.9117963421726424,-1.0,-0.9911656938188848,-1.749375520399667,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,0.6429541595925304,0.3870967741935484,1.1222410865874364,0.8064516129032258,0.7396859083191853,1.285269174895485,1.277800401441507,1.3373367389634807,1.2632290166066191
962,963,"962,Mrs. Bennets eyes sparkled.",0.0,0,0,0,31,4,bennets eyes sparkled,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,0.6447368421052639,0.38879456706281834,1.1222410865874364,0.8064516129032258,0.740556027164686,1.2980327350169225,1.291068133119245,1.3373367389634807,1.2632290166066191
963,964,"963,A gentleman and a stranger!",0.5,-1,0,0,31,5,gentleman and a stranger,0.021893565243174193,0.25,0.9371999934504486,1.5082882172082395,-0.9117963421726424,-1.0,-2.203535195753314,-4.193612774451098,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,0.6457555178268259,0.38879456706281834,1.1273344651952462,0.8064516129032258,0.742084040747029,1.3053261979434583,1.291068133119245,1.3558390928215158,1.2632290166066191
964,965,"964,""It is Mr. Bingley, I am sure!""",0.0,0,0,0,35,7,is mr bingley i am sure,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,0.6463497453310705,0.3904923599320883,1.1273344651952462,0.8064516129032258,0.7426570458404076,1.3095807179839378,1.304335864796983,1.3558390928215158,1.2632290166066191
965,966,"965,""Well, I am sure I shall be extremely glad to see Mr. Bingley.""",1.55,2,3,1,67,13,i am sure i shall be extremely glad to see mr bingley,0.8894383601817812,1.3,1.1716169960668528,1.8436217008942113,1.3001702680150182,2.0,1.4785735585114748,3.2298232129131437,0.7757588455913448,1.5,0.8988104348860173,2.1152310709054505,0.2438417481427797,1.0,0.48275072132270636,1.0764796310530362,0.644057724957556,0.3870967741935484,1.1239388794567062,0.8047538200339559,0.7399617996604417,1.2931704263992323,1.277800401441507,1.3435041902494922,1.251625506793008
966,967,"966,Butgood Lord! how unlucky!",-0.5,-1,0,-1,30,4,lord how unlucky,-0.8043395727935945,-0.75,-1.783970319604236,-2.384345468039719,-0.9117963421726424,-1.0,-2.7222583064847887,-5.239401496259352,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-1.0856091896722273,-1.0,-2.883102257952928,-3.492518703241896,0.645076400679118,0.3870967741935484,1.1239388794567062,0.8047538200339559,0.7402164685908321,1.300463889325768,1.277800401441507,1.3435041902494922,1.251625506793008
967,968,"967,There is not a bit of fish to be got to-day.",0.0,0,0,0,48,11,is not a bit of fish to be got to day,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,0.644567062818337,0.3870967741935484,1.1222410865874364,0.8081494057724957,0.7405135823429544,1.2968171578625,1.277800401441507,1.3373367389634807,1.2748325264202311
968,969,"968,""Lydia, my love, ring the bellI must speak to Hill this moment.""",0.75,1,3,1,68,12,my love ring the belli must speak to hill this moment,0.22845184975236635,0.5,0.48442727786148954,0.8605969220300694,0.5628480646191314,1.0,0.7442546503786838,1.749375520399667,0.7757588455913448,1.5,0.9888446566163318,2.29135355807493,0.2438417481427797,1.0,0.5487800605968488,1.166111573688593,0.642869269949067,0.3853989813242784,1.1171477079796266,0.8047538200339559,0.737542444821732,1.284661386318274,1.264532669763769,1.3188343851054458,1.251625506793008
969,970,"969,""It is _not_ Mr. Bingley, said her husband; it is a person whom I never saw in the whole course of my life.""",0.0,0,0,0,112,23,is not mr bingley said her husband it is a person whom i never saw in the whole course of my life,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,0.643887945670629,0.3853989813242784,1.1171477079796266,0.8047538200339559,0.7377971137521224,1.2919548492448099,1.264532669763769,1.3188343851054458,1.251625506793008
970,971,"970,This roused a general astonishment; and he had the pleasure of being eagerly questioned by his wife and his five daughters at once.",2.2,3,2,2,135,23,roused a general astonishment and he had the pleasure of being eagerly questioned by his wife and his five daughters at once,1.426489899905681,1.9500000000000002,0.886412817167952,1.435637169889578,2.0374924714109053,3.0,1.2352405886979436,2.7392438070404173,0.4240854820377771,1.0,0.22508616662270844,0.7973100458490485,0.9085672170502831,2.0,0.5864868020569165,1.2172968274663192,0.6408319185059431,0.3837011884550085,1.1154499151103565,0.8047538200339559,0.7361842105263161,1.2700744604652032,1.2512649380860317,1.3126669338194334,1.251625506793008
971,972,"971,""After amusing himself some time with their curiosity, he thus explained:""",1.0,1,0,2,78,11,amusing himself some time with their curiosity he thus explained,0.43501013426155843,0.75,0.8284219019170933,1.3526811751615424,0.5628480646191314,1.0,0.8230657468454216,1.908265213442325,-0.27926124506935823,0.0,-0.18250056809506168,0.0,0.9085672170502831,2.0,1.563869303873439,2.544050862851953,0.643718166383702,0.3837011884550085,1.1154499151103565,0.8081494057724957,0.7377546689303907,1.2907392720903876,1.2512649380860317,1.3126669338194334,1.2748325264202311
972,973,"972,""About a month ago I received this letter; and about a fortnight ago I answered it, for I thought it a case of some delicacy, and requiring early attention.""",1.65,1,0,1,161,29,a month ago i received this letter and about a fortnight ago i answered it for i thought it a case of some delicacy and requiring early attention,0.972061673985458,1.4,0.4168973819803879,0.7639954170794379,0.5628480646191314,1.0,0.23577230202710375,0.7242330230954843,-0.27926124506935823,0.0,-0.18250056809506168,0.0,0.2438417481427797,1.0,0.045377476409945466,0.48276456394346784,0.64269949066214,0.37860780984719866,1.105263157894737,0.8081494057724957,0.7336799660441429,1.2834458091638516,1.2114617430528183,1.2756622261033634,1.2748325264202311
973,974,"973,""It is from my cousin, Mr. Collins, who, when I am dead, may turn you all out of this house as soon as he pleases.""",0.0,0,-3,0,119,25,is from my cousin mr collins who when i am dead may turn you all out of this house as soon as he pleases,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-1.3342813357300614,-1.5,-0.7449898183463146,-1.1003261188516558,-0.42088372076472375,0.0,-0.31026164335974327,0.0,0.64269949066214,0.37860780984719866,1.1120543293718166,0.8098471986417657,0.7358022071307302,1.2834458091638516,1.2114617430528183,1.3003320312474098,1.286436036233843
974,975,"974,""Oh! my dear, cried his wife, I cannot bear to hear that mentioned.""",-0.5,0,0,1,72,13,my dear cried his wife i cannot bear to hear that mentioned,-0.8043395727935945,-0.75,-0.7384026987937412,-0.8886611584447592,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,0.2438417481427797,1.0,0.48275072132270636,1.0764796310530362,0.6407470288624796,0.3735144312393888,1.1035653650254669,0.8064516129032258,0.7310696095076403,1.2694666718879917,1.171658548019605,1.2694947748173513,1.2632290166066191
975,976,"975,""Pray do not talk of that odious man. I do think it is the hardest thing in the world, that your estate should be entailed away from your own children; and I am sure, if I had been you, I should have tried long ago to do something or other about it.""",-0.5,0,1,1,254,52,do not talk of that odious man i do think it is the hardest thing in the world that your estate should be entailed away from your own children and i am sure if i had been you i should have tried long ago to do something or other about it,-0.8043395727935945,-0.75,-0.3890760303783654,-0.3889494167336444,-0.17447413877675547,0.0,-0.12345552172010059,0.0,0.07241211848420942,0.5,-0.09233934173613177,0.17637093015753322,0.2438417481427797,1.0,-0.11189419739706936,0.26927513939626996,0.6414261460101875,0.3735144312393888,1.1120543293718166,0.8047538200339559,0.7329371816638373,1.2743289805056819,1.171658548019605,1.3003320312474098,1.251625506793008
976,977,"976,Jane and Elizabeth tried to explain to her the nature of an entail.",0.0,0,0,1,71,13,and elizabeth tried to explain to her the nature of an entail,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,0.2438417481427797,1.0,0.48275072132270636,1.0764796310530362,0.6488964346349753,0.3837011884550085,1.1222410865874364,0.8166383701188455,0.7428692699490664,1.3278143753002758,1.2512649380860317,1.3373367389634807,1.3328500754882904
977,978,"977,""They had often attempted to do it before, but it was a subject on which Mrs. Bennet was beyond the reach of reason, and she continued to rail bitterly against the cruelty of settling an estate away from a family of five daughters, in favour of a man whom nobody cared anything about.""",-1.4,-2,-2,-3,289,53,had often attempted to do it before but it was a subject on which mrs bennet was beyond the reach of reason and she continued to rail bitterly against the cruelty of settling an estate away from a family of five daughters in favour of a man whom nobody cared anything about,-1.547949397026686,-1.65,-0.5926780238351353,-0.680202034885197,-1.649118545568529,-2.0,-0.5166341358271144,-0.7926806262969252,-0.9826079721764936,-1.0,-0.35942135220854765,-0.3460876090357783,-2.415060127487234,-3.0,-0.8941377534060743,-0.7925863044708547,0.6489813242784388,0.38200339558573854,1.1188455008488964,0.8217317487266553,0.7428904923599322,1.3284221638774873,1.2379972064082938,1.325001836391457,1.3676606049291253
978,979,"978,""It certainly is a most iniquitous affair, said Mr. Bennet, and nothing can clear Mr. Collins from the guilt of inheriting Longbourn.""",-0.75,-1,-2,-1,138,22,certainly is a most iniquitous affair said mr bennet and nothing can clear mr collins from the guilt of inheriting longbourn,-1.0108978573027865,-1.0,-0.6855941180080986,-0.813118492316827,-0.9117963421726424,-1.0,-0.5969311767362931,-0.9545661063153111,-0.9826079721764936,-1.0,-0.6086055551852885,-0.8335349457058885,-1.0856091896722273,-1.0,-0.7790072528335583,-0.6363016810540664,0.6491511035653659,0.38200339558573854,1.1188455008488964,0.8217317487266553,0.742932937181664,1.3296377410319105,1.2379972064082938,1.325001836391457,1.3676606049291253
979,980,"979,""But if you will listen to his letter, you may perhaps be a little softened by his manner of expressing himself.""",0.6,0,0,0,117,21,if you will listen to his letter you may perhaps be a little softened by his manner of expressing himself,0.10451687904685103,0.35,0.07362341264198233,0.272942060402384,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,0.6508488964346358,0.3853989813242784,1.1171477079796266,0.8200339558573854,0.7433573853989816,1.3417935125761367,1.264532669763769,1.3188343851054458,1.3560570951155135
980,981,"980,""No, that I am sure I shall not; and I think it is very impertinent of him to write to you at all, and very hypocritical.""",-1.25,-2,-3,-1,126,26,that i am sure i shall not and i think it is very impertinent of him to write to you at all and very hypocritical,-1.424014426321171,-1.5,-0.8550911986391737,-1.0555840382807828,-1.649118545568529,-2.0,-0.924778025903599,-1.6155324875048058,-1.3342813357300614,-1.5,-0.723363934061376,-1.058022154266817,-1.0856091896722273,-1.0,-0.7069202694465818,-0.5384467512495195,0.6484719864176579,0.3837011884550085,1.1120543293718166,0.8183361629881154,0.7406409168081496,1.3247754324142202,1.2512649380860317,1.3003320312474098,1.3444535853019015
981,982,"981,I hate such false friends.",-1.35,-2,-4,-1,30,5,hate such false friends,-1.5066377401248479,-1.6,-3.5388536578569085,-4.89470579476781,-1.649118545568529,-2.0,-4.283614869786527,-8.387225548902196,-1.685954699283629,-2.0,-3.9264409935864353,-7.3237940738469485,-1.0856091896722273,-1.0,-2.369561217115965,-2.795409181636727,0.6462648556876069,0.3853989813242784,1.1069609507640068,0.8166383701188455,0.7388157894736844,1.3089729294067263,1.264532669763769,1.281829677389375,1.3328500754882904
982,983,"982,""Why could he not keep on quarreling with you, as his father did before him?""",0.0,0,0,0,81,15,could he not keep on quarreling with you as his father did before him,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,0.6417657045840416,0.38200339558573854,1.0882852292020373,0.8149405772495756,0.7317487266553483,1.2767601348145274,1.2379972064082938,1.2139877132432453,1.3212465656746786
983,984,"983,""Why, indeed; he does seem to have had some filial scruples on that head, as you will hear.""",0.0,0,0,0,96,18,indeed he does seem to have had some filial scruples on that head as you will hear,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,0.6385398981324287,0.37860780984719866,1.0814940577249577,0.8132427843803056,0.7279711375212226,1.2536641688804986,1.2114617430528183,1.189317908099199,1.3096430558610668
984,985,"984,""Hunsford, near Westerham, Kent, _th October_.""",0.0,0,0,0,51,6,near westerham kent th october,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,0.6399830220713082,0.38030560271646857,1.0780984719864177,0.8200339558573854,0.729605263157895,1.2639965746930906,1.2247294747305557,1.1769830055271753,1.3560570951155135
985,986,"985,""Dear Sir, The disagreement subsisting between yourself and my late honoured father always gave me much uneasiness, and since I have had the misfortune to lose him, I have frequently wished to heal the breach; but for some time I was kept back by my own doubts, fearing lest it might seem disrespectful to his memory for me to be on good terms with anyone with whom it had always pleased him to be at variance.There, Mrs. Bennet.My mind, however, is now made up on the subject, for having received ordination at Easter, I have been so fortunate as to be distinguished by the patronage of the Right Honourable Lady Catherine de Bourgh, widow of Sir Lewis de Bourgh, whose bounty and beneficence has preferred me to the valuable rectory of this parish, where it shall be my earnest endeavour to demean myself with grateful respect towards her ladyship, and be ever ready to perform those rites and ceremonies which are instituted by the Church of England.""",6.05,3,12,6,958,167,sir the disagreement subsisting between yourself and my late honoured father always gave me much uneasiness and since i have had the misfortune to lose him i have frequently wished to heal the breach but for some time i was kept back by my own doubts fearing lest it might seem disrespectful to his memory for me to be on good terms with anyone with whom it had always pleased him to be at variancethere mrs bennetmy mind however is now made up on the subject for having received ordination at easter i have been so fortunate as to be distinguished by the patronage of the right honourable lady catherine de bourgh widow of sir lewis de bourgh whose bounty and beneficence has preferred me to the valuable rectory of this parish where it shall be my earnest endeavour to demean myself with grateful respect towards her ladyship and be ever ready to perform those rites and ceremonies which are instituted by the church of england,4.60748748134724,5.8,0.1665666248239731,0.40589731014146757,2.0374924714109053,3.0,0.0637404396038872,0.37740255074546436,3.940819117573454,6.0,0.15443389448283992,0.659101999460629,3.5674690926802968,6.0,0.06039008520209152,0.50314352433986,0.6409168081494068,0.3837011884550085,1.0747028862478778,0.8217317487266553,0.7302631578947372,1.2706822490424157,1.2512649380860317,1.1646481029551516,1.3676606049291253
986,987,"986,""As a clergyman, moreover, I feel it my duty to promote and establish the blessing of peace in all families within the reach of my influence; and on these grounds I flatter myself that my present overtures are highly commendable, and that the circumstance of my being next in the entail of Longbourn estate will be kindly overlooked on your side, and not lead you to reject the offered olive-branch.""",3.05,5,5,4,404,70,a clergyman moreover i feel it my duty to promote and establish the blessing of peace in all families within the reach of my influence and on these grounds i flatter myself that my present overtures are highly commendable and that the circumstance of my being next in the entail of longbourn estate will be kindly overlooked on your side and not lead you to reject the offered olive branch,2.128788067236934,2.8,0.2555373719314225,0.5331699492448088,3.512136878202679,5.0,0.6208095237667154,1.500499928581631,1.47910557269848,2.5,0.15240054481223334,0.6551244163329026,2.2380181548652898,4.0,0.2792021969212834,0.8001714040851308,0.6358234295415969,0.38200339558573854,1.0628183361629882,0.8132427843803056,0.7234719864176573,1.2342149344097375,1.2379972064082938,1.1214759439530695,1.3096430558610668
987,988,"987,""I cannot be otherwise than concerned at being the means of injuring your amiable daughters, and beg leave to apologise for it, as well as to assure you of my readiness to make them every possible amendsbut of this hereafter.""",1.5,1,-4,0,230,40,cannot be otherwise than concerned at being the means of injuring your amiable daughters and beg leave to apologise for it as well as to assure you of my readiness to make them every possible amendsbut of this hereafter,0.8481267032799428,1.25,0.18190354587546548,0.4278367731830181,0.5628480646191314,1.0,0.13700934123682018,0.5251187203199201,-1.685954699283629,-2.0,-0.6513119035539916,-0.9170759387646392,-0.42088372076472375,0.0,-0.31026164335974327,0.0,0.6353140916808159,0.38200339558573854,1.0628183361629882,0.8132427843803056,0.723344651952462,1.2305682029464695,1.2379972064082938,1.1214759439530695,1.3096430558610668
988,989,"988,""If you should have no objection to receive me into your house, I propose myself the satisfaction of waiting on you and your family, Monday, November th, by four oclock, and shall probably trespass on your hospitality till the Saturday seennight following, which I can do without any inconvenience, as Lady Catherine is far from objecting to my occasional absence on a Sunday, provided that some other clergyman is engaged to do the duty of the day.I remain, dear sir, with respectful compliments to your lady and daughters, your well-wisher and friend,""",2.1,-1,2,3,558,92,you should have no objection to receive me into your house i propose myself the satisfaction of waiting on you and your family monday november th by four of the clock and shall probably trespass on your hospitality till the saturday seennight following which i can do without any inconvenience as lady catherine is far from objecting to my occasional absence on a sunday provided that some other clergyman is engaged to do the duty of the dayi remain dear sir with respectful compliments to your lady and daughters your well wisher and friend,1.343866586102004,1.85,0.004115236135642918,0.1735106253427365,-0.9117963421726424,-1.0,-0.23671711466550213,-0.22834474513639821,0.4240854820377771,1.0,-0.08057066084741589,0.1993925024995827,1.5732926859577865,3.0,0.02612866849283808,0.4566351483534399,0.6319185059422759,0.3769100169779287,1.0594227504244482,0.8081494057724957,0.7191001697792871,1.2062566598580173,1.1981940113750804,1.1091410413810459,1.2748325264202311
989,990,"989,WILLIAM COLLINS",0.0,0,0,0,19,2,collins,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,0.6321731748726664,0.3735144312393888,1.064516129032258,0.8115449915110357,0.7204371816638372,1.2080800255896513,1.171658548019605,1.1276433952390807,1.2980395460474548
990,991,"990,""At four oclock, therefore, we may expect this peace-making gentleman, said Mr. Bennet, as he folded up the letter.""",1.4,1,2,3,120,19,four of the clock therefore we may expect this peace making gentleman said mr bennet as he folded up the letter,0.7655033894762658,1.15,0.6201591857558744,1.0547613939478686,0.5628480646191314,1.0,0.4247401209367326,1.1052077853761177,0.4240854820377771,1.0,0.31084876203938816,0.9650764942128672,1.5732926859577865,3.0,1.317895778710536,2.2101525512887954,0.6318336162988125,0.37521222410865873,1.0577249575551784,0.8081494057724957,0.7182300509337864,1.2056488712808067,1.1849262796973425,1.1029735900950344,1.2748325264202311
991,992,"991,""He seems to be a most conscientious and polite young man, upon my word, and I doubt not will prove a valuable acquaintance, especially if Lady Catherine should be so indulgent as to let him come to us again.""",1.5,3,1,5,213,39,seems to be a most conscientious and polite young man upon my word and i doubt not will prove a valuable acquaintance especially if lady catherine should be so indulgent as to let him come to us again,0.8481267032799428,1.25,0.19355306606280429,0.44450140989489884,2.0374924714109053,3.0,0.6779696897825706,1.615739553960523,0.07241211848420942,0.5,-0.06229330372879802,0.2351461696358191,2.9027436237727935,5.0,1.0121032457095558,1.7950525506280444,0.6316638370118854,0.3735144312393888,1.0594227504244482,0.8081494057724957,0.7181876061120546,1.2044332941263833,1.171658548019605,1.1091410413810459,1.2748325264202311
992,993,"992,""There is some sense in what he says about the girls, however, and if he is disposed to make them any amends, I shall not be the person to discourage him.""",-0.3,-1,0,2,159,31,is some sense in what he says about the girls however and if he is disposed to make them any amends i shall not be the person to discourage him,-0.6390929451862407,-0.55,-0.38981257444718725,-0.3900030429029476,-0.9117963421726424,-1.0,-0.45951483055294157,-0.6775233795549823,-0.27926124506935823,0.0,-0.18250056809506168,0.0,0.9085672170502831,2.0,0.35514247560308615,0.9032570138664948,0.630050933786079,0.3701188455008489,1.0594227504244482,0.8047538200339559,0.7160865874363331,1.192885311159369,1.1451230846641292,1.1091410413810459,1.251625506793008
993,994,"993,""Though it is difficult, said Jane, to guess in what way he can mean to make us the atonement he thinks our due, the wish is certainly to his credit.""",0.45,-1,0,2,154,30,it is difficult said jane to guess in what way he can mean to make us the atonement he thinks our due the wish is certainly to his credit,-0.019418091658664226,0.2,-0.09078026684106602,0.03776262394292048,-0.9117963421726424,-1.0,-0.4707130747659652,-0.700099966677774,-0.27926124506935823,0.0,-0.18250056809506168,0.0,0.9085672170502831,2.0,0.37731522198638595,0.9333555481506164,0.6272495755517836,0.366723259762309,1.0543293718166384,0.799660441426146,0.7119906621392192,1.1728282881113963,1.1185876213086536,1.0906386875230107,1.2168149773521724
994,995,"994,""Elizabeth was chiefly struck by his extraordinary deference for Lady Catherine, and his kind intention of christening, marrying, and burying his parishioners whenever it were required.""",1.6,1,1,3,190,26,was chiefly struck by his extraordinary deference for lady catherine and his kind intention of christening marrying and burying his parishioners whenever it were required,0.9307500170836197,1.35,0.47311587473576705,0.8444159617192174,0.5628480646191314,1.0,0.27720573037164864,0.8077662437524029,0.07241211848420942,0.5,-0.002212779439623585,0.3526740514222723,1.5732926859577865,3.0,0.8797142349007722,1.6153402537485582,0.6255517826825137,0.3633276740237691,1.0390492359932089,0.797962648556876,0.7064728353140919,1.16067251656717,1.092052157953178,1.035131625948905,1.2052114675385606
995,996,"995,""He must be an oddity, I think, said she.""",-0.5,-1,0,-1,46,9,must be an oddity i think said she,-0.8043395727935945,-0.75,-0.9452211059684895,-1.1845148558908458,-0.9117963421726424,-1.0,-1.280081400400056,-2.3318534961154276,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-1.0856091896722273,-1.0,-1.4553327714972204,-1.5543840177580468,0.6229202037351452,0.3616298811544992,1.0305602716468591,0.797962648556876,0.7032682512733448,1.1418310706736199,1.0787844262754405,1.0042943695188462,1.2052114675385606
996,997,"996,""I cannot make him out.There is something very pompous in his style.And what can he mean by apologising for being next in the entail?We cannot suppose he would help it if he could.Could he be a sensible man, sir?""",0.55,0,1,0,217,39,cannot make him outthere is something very pompous in his styleand what can he mean by apologising for being next in the entailwe cannot suppose he would help it if he couldcould he be a sensible man sir,0.06320522214501266,0.30000000000000004,-0.10164189231096493,0.022225070494744953,-0.17447413877675547,0.0,-0.12345552172010059,0.0,0.07241211848420942,0.5,-0.06229330372879802,0.2351461696358191,-0.42088372076472375,0.0,-0.31026164335974327,0.0,0.6214770797962658,0.3616298811544992,1.0254668930390491,0.7945670628183361,0.7007852292020376,1.1314986648610277,1.0787844262754405,0.9857920156608104,1.1820044479113367
997,998,"997,""No, my dear, I think not.""",0.5,0,1,1,31,6,my dear i think not,0.021893565243174193,0.25,0.7359114360323006,1.2203449689294228,-0.17447413877675547,0.0,-0.12345552172010059,0.0,0.07241211848420942,0.5,0.5977465838064269,1.5262981826111988,0.2438417481427797,1.0,1.406392410636708,2.330282861896839,0.6204584040747038,0.3616298811544992,1.0220713073005094,0.7962648556876061,0.7001061120543296,1.124205201934492,1.0787844262754405,0.9734571130887877,1.1936079577249488
998,999,"998,I have great hopes of finding him quite the reverse.",1.1,1,5,0,56,10,have great hopes of finding him quite the reverse,0.5176334480652354,0.8500000000000001,1.059503805722583,1.6832438005470565,0.5628480646191314,1.0,0.9176233161326866,2.098901098901099,1.47910557269848,2.5,2.159799822977838,4.581944094652,-0.42088372076472375,0.0,-0.31026164335974327,0.0,0.6184210526315799,0.3599320882852292,1.0203735144312394,0.7911714770797963,0.6974745331069612,1.109618276081421,1.0655166945977024,0.9672896618027754,1.1587974282841138
999,1000,"999,""There is a mixture of servility and self-importance in his letter, which promises well.""",1.3,2,3,1,93,14,is a mixture of servility and self importance in his letter which promises well,0.682880075672589,1.05,0.8522329468835862,1.3867428710696814,1.3001702680150182,2.0,1.3642245877597565,2.999286224125625,0.7757588455913448,1.5,0.8216290642235562,1.9642509801912855,0.2438417481427797,1.0,0.4261474119235309,0.9996431120628125,0.6191850594227513,0.3599320882852292,1.0220713073005094,0.7911714770797963,0.6980899830220716,1.1150883732763222,1.0655166945977024,0.9734571130887877,1.1587974282841138
1000,1001,"1000,I am impatient to see him.",-1.0,-1,-2,-1,31,6,am impatient to see him,-1.2174561418119787,-1.25,-2.289455581962464,-3.107442052701194,-0.9117963421726424,-1.0,-1.8574320885930458,-3.495840266222962,-0.9826079721764936,-1.0,-1.7429948718980388,-3.0525963652223975,-1.0856091896722273,-1.0,-2.0269156973561944,-2.330282861896839,0.6136672325976239,0.3531409168081494,1.0135823429541595,0.7877758913412564,0.6920415959252972,1.0755821157575876,1.0124457678867513,0.9426198566587282,1.13559040865689
