,sent_no,sent_raw,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
917,917,It depends so much upon the room.,0.1215262403020382,0.1114533206882197,0.17772861890675162,0.04160039178621926,0.07745651321829937,0.0034125544501301215,0.1759098423678262,0.1856434967413539,0.18198117654930918,0.14469204775184746,0.05331128523316604,-0.08449560738414506,1.3384367274011502,1.279573997927767,1.7200322061756579,0.8854608532694507,0.3510541065805994,-0.5496950671411853,0.21016057299722485,1.2847577308611169,2.205197062289277,1.998324209908593,0.19618429082882327,0.5394267167923452,0.10351240800514014,0.6289628025369844,1.019229944814488,-0.30244944080196307,1.2348555917976989,0.9836886303854171,1.6317545052246778
918,918,"When I say to myself, ""Bernard"", who comes?",0.11457288887215318,0.1042063767716147,0.168056369522412,0.04171174858227958,0.06750191591792117,-0.00657833749403064,0.165712973937931,0.17830942433690466,0.17906078127429406,0.13998736459699332,0.05238179541778564,-0.08517402047290293,1.2455659528177618,1.1817576746601965,1.6188896588546589,0.6999770422151811,0.4132191967518267,-0.7509987093435806,0.21003742375052983,1.1815040590155201,2.0892097393941342,1.8751987767637355,0.0015771505278008996,0.5358060637920121,0.15192577424240214,0.6227572871820732,1.0157642376823026,-0.298670160920587,1.1715349228380258,0.9836886303854171,1.5177485813649825
919,919,"A faithful, sardonic man, disillusioned, but not embittered.",0.11078015172857952,0.10025349827164833,0.1629305617470308,0.038222568972389466,0.06224661202683995,-0.00865791620904074,0.15893084300754462,0.17080467870495827,0.16387472584421547,0.13455875601859424,0.04928128490100227,-0.08628848992621983,1.166027499494394,1.0979836445911855,1.545637535128939,0.5826531207490626,0.3612135374324954,-0.8147488245671817,-0.06952075813214934,1.1251838743724676,2.031216077946563,1.7982453810481995,-0.037344277532403616,0.4645652584840752,0.10754536724936695,0.5343475374545816,1.0206979473091988,-0.38980312924477073,1.1081510635009657,0.9266882498292756,1.4700103049218631
920,920,A man of no particular age or calling.,0.11014802887131726,0.0995946851883206,0.16073898143300233,0.03792561751622861,0.06222986472317175,-0.002748663536243758,0.15780832169506773,0.1692282153832192,0.16037025151419734,0.13113023411804287,0.048442842129857604,-0.08729886416333833,1.1371612216329805,1.0675801815050858,1.517692130374579,0.6425203628045701,0.35763344430394817,-0.7614116514726531,-0.06952075813214934,1.1157971769319588,2.0022192472227776,1.7828547019050924,0.07942000664820983,0.535633173794461,0.10571174912061457,0.5674467735817083,0.9808173580399508,-0.3746461499822234,1.1695888077457843,0.9551884401073463,1.5149241685875008
921,921,"Myself, merely.",0.11103300087148443,0.09840882163833069,0.16037332960444678,0.03926189906895248,0.0649278553441188,-0.002748663536243758,0.15578970642527634,0.16786143631240524,0.1555307393441723,0.130066812633801,0.04744002583414559,-0.08711954579999982,1.0892990826590954,1.0171692908976941,1.4465547436372594,0.6904715788063588,0.3742967344070097,-0.7614116514726531,-0.3410082930824498,1.098901121539043,2.0022192472227776,1.7674640227619853,0.07942000664820983,0.46444693016275607,0.15207868394076685,0.5963634122554463,0.9588751444860047,-0.3743566485760516,1.168622835826008,0.9551884401073463,1.4478833976391585
922,922,It is he who now takes the poker and rattles the cinders so that they fall in showers through the grate.,0.11507858715796299,0.10262522537162815,0.16415962277003343,0.044829738871968616,0.0735024748222373,-0.002748663536243758,0.15578970642527634,0.17079771245077466,0.1560313785341749,0.13558528781650223,0.04763739772292256,-0.0845068855506503,1.1350405928832055,1.065346625165656,1.488069394728104,0.8118187149662531,0.44593215591229124,-0.7614116514726531,-0.3410082930824498,1.128938553348671,2.031216077946563,1.7674640227619853,0.07942000664820983,0.535771937742429,0.23219157512173658,0.6905740312915346,0.962728369736853,-0.3741952479302474,1.2322922076322886,1.012188820663488,1.5268452120825586
923,923,"""Lord,"" he says to himself, watching them fall, ""what a pother!"" and then he adds, lugubriously, but with some sense of consolation, ""Mrs Moffat will come and sweep it all up--""",0.11912417344444154,0.10684162910492562,0.16625572090217736,0.04338210052318442,0.08161486871911347,0.004760524179724802,0.15485021052602693,0.16922124912903566,0.15241008839315615,0.13626622150033474,0.04725230452994711,-0.08374396111977368,1.219807035375208,1.154627044955788,1.53422942661633,0.9290655323020979,0.4309880664946774,-0.6270916263091645,-0.3410082930824498,1.1890134169679272,2.0602129086703487,1.7520733436188782,0.19618429082882327,0.5358166858919946,0.21155092259207436,0.7278040849384643,0.9657433956458051,-0.2830507678963409,1.2415434562836283,1.012188820663488,1.5559716626714022
924,924,"I fancy I shall often repeat to myself that phrase, as I rattle and bang through life, hitting first this side of the carriage, then the other, ""Oh, yes, Mrs Moffat will come and sweep it all up.""",0.11798635230136945,0.10433813938828024,0.1705695591545704,0.04675992333701421,0.08040738812463624,0.006696318420136498,0.15485021052602693,0.16523724836145917,0.15299416744815916,0.13081736519936138,0.047457445783601886,-0.08476446099634039,1.2324523561804739,1.1679457535943105,1.6101402961570417,1.0014015505059946,0.4210406978531817,-0.5861838819415693,-0.491834701388172,1.190890756456029,2.11820657011792,1.7520733436188782,0.19618429082882327,0.5358648300494872,0.14080144408320916,0.7559827475488181,0.9431751263606456,-0.2977044642429174,1.177881212839677,0.9551884401073463,1.5282655395227696
925,925,And so to bed.,0.11090657630003198,0.09695943285500969,0.16575945002324735,0.0452009281921697,0.07620046544318435,-0.0011419033861292409,0.1486562327503891,0.15756322275285234,0.15299416744815916,0.1252850217135271,0.047457445783601886,-0.08643388176168743,1.112704650016407,1.041821250065193,1.5442723454743383,0.9273255983611117,0.39706184775386794,-0.6855718359141013,-0.6426611096938942,1.0857597451223306,2.0602129086703487,1.675119947903342,0.04049857858800531,0.46493111237565876,0.04022958097858682,0.6217374277500937,0.9166375302407104,-0.2986890215142504,1.1142458094938006,0.8981880595512047,1.4139285536676933
926,926,"'In a world which contains the present moment,' said Neville, 'why discriminate? Nothing should be named lest by so doing we change it. Let it exist, this bank, this beauty, and I, for one instant, steeped in pleasure. The sun is hot. I see the river. I see trees specked and burnt in the autumn sunlight. Boats float past, through the red, through the green. Far away a bell tolls, but not for death. There are bells that ring for life. A leaf falls, from joy. Oh, I am in love with life! Look how the willow shoots its fine sprays into the air! Look how through them a boat passes, filled with indolent, with unconscious, with powerful young men. They are listening to the gramophone; they are eating fruit out of paper bags. They are tossing the skins of bananas, which then sink eel-like, into the river. All they do is beautiful. There are cruets behind them and ornaments; their rooms are full of oars and oleographs but they have turned all to beauty. That boat passes under the bridge. Another comes. Then another. That is Percival, lounging on the cushions, monolithic, in giant repose. No, it is only one of his satellites, imitating his monolithic, his giant repose. He alone is unconscious of their tricks, and when he catches them at it he buffets them good-humouredly with a blow of his paw. They, too, have passed under the bridge through 'the fountains of the pendant trees', through its fine strokes of yellow and plum colour.",0.11356149230053353,0.09972644780498614,0.168566029571927,0.04119208353399808,0.07535305187757342,0.0009979662040087854,0.15315052977954008,0.1619394236309631,0.15211804886565464,0.12528585381171511,0.04706775519829097,-0.08655487232134877,1.1723773568636857,1.1046716441682745,1.5865218261983838,0.9141080493335633,0.3222848640307064,-0.6114087785614277,-0.6426611096938942,1.1251838743724676,2.0892097393941342,1.7212919853326636,0.07942000664820983,0.46528584838414766,0.06872116457155833,0.7553613564142457,0.873461736216881,-0.29840378088269975,1.1192903898772846,0.8981880595512047,1.3539943140483282
927,927,"The breeze stirs; the curtain quivers; I see behind the leaves the grave, yet eternally joyous buildings, which seem porous, not gravid; light, though set so immemorially on the ancient turf.",0.11356149230053353,0.09972644780498614,0.168566029571927,0.040769818563337334,0.0742644771391404,0.0030346967995541476,0.15315052977954008,0.1619394236309631,0.15036581170064556,0.1306756311413417,0.046539254060892835,-0.08678823317457292,1.1723773568636857,1.1046716441682745,1.5865218261983838,0.8946293908775529,0.31205460143735403,-0.5551864615836407,-0.6426611096938942,1.1251838743724676,2.0892097393941342,1.7212919853326636,0.11834143470841435,0.5361189880487671,0.0699296462919547,0.7591538147044855,0.8738991939130301,-0.2921593980106037,1.1803628193232085,0.8981880595512047,1.3510886168896623
928,928,"Now begins to rise in me the familiar rhythm; words that have lain dormant now lift, now toss their crests, and fall and rise, and fall and rise again.",0.11406719058634335,0.10025349827164831,0.168566029571927,0.04463018749342853,0.07395465202127871,0.0030346967995541476,0.15595786702859038,0.165822413712878,0.15036581170064556,0.131863035255593,0.046539254060892835,-0.08666956565886348,1.1826409223255216,1.1154817643766652,1.5865218261983838,0.8832269060439617,0.38314293963935414,-0.5551864615836407,-0.6426611096938942,1.128938553348671,2.0892097393941342,1.7366826644757707,0.11834143470841435,0.53629839557281,0.12854843700563237,0.69693395045489,0.8713143372787046,-0.3542246000416853,1.2428763897622623,0.9551884401073463,1.3754521993472781
929,929,"I am a poet, yes.",0.10850450944243534,0.09445594313836432,0.16139354779434958,0.043331024872724756,0.07471163014708135,0.008824919746835594,0.1507442641325933,0.15979103084075402,0.14946081008794856,0.13224774198450368,0.04612327617384641,-0.09059283625308182,1.1109591123847653,1.039982759172678,1.5497682562667427,0.8999371667456852,0.38850687047527405,-0.5751592633019101,-0.6426611096938942,1.0651090107532113,2.0022192472227776,1.675119947903342,0.2351057188890278,0.5362508089053405,0.12802290953223724,0.6335202220083422,0.7942362585894736,-0.4298897811032401,1.2420762600562945,0.9836886303854171,1.3313051256360955
930,930,Surely I am a great poet.,0.10749311287081569,0.09340184220503994,0.16139354779434958,0.04496425788160949,0.07536477499014116,0.007031259405314664,0.14804163771654769,0.16466113914047897,0.15019090890670236,0.13211654783686508,0.04637510607345494,-0.08575949733816128,1.1019765430517925,1.030521850618949,1.5497682562667427,0.9731112021886227,0.40130947047462256,-0.5997618666657806,-0.6426611096938942,1.0500902948483972,2.0022192472227776,1.6443385896171279,0.19618429082882327,0.5363342260098302,0.10085197239751323,0.641030386928907,0.8623651028736242,-0.42818970210039575,1.2417512576373833,0.9551884401073463,1.3352542976499184
931,931,"Boats and youth passing and distant trees, ""the falling fountains of the pendant trees"".",0.10850450944243531,0.09445594313836429,0.16139354779434958,0.04993077098589988,0.08237017211454929,0.008860127211216373,0.14716624054428654,0.16466113914047897,0.15002866472475707,0.12666131211645054,0.04631499164092229,-0.08285825369333534,1.1122401085136284,1.0413319708273399,1.5497682562667427,1.0217873934578638,0.4537721148887844,-0.5716507081768871,-0.6426611096938942,1.0651090107532113,2.0022192472227776,1.6289479104740208,0.2351057188890278,0.536123171351765,0.12512687603056713,0.6368006326255476,0.9061489283506655,-0.3378894023226073,1.2464939966065505,1.012188820663488,1.3384657698450289
932,932,I see it all.,0.10660814087064849,0.09247950388838111,0.159681279166864,0.04467048804819322,0.08475833761763465,0.00920352779188008,0.14388312891635677,0.16022433185097126,0.1468000055040459,0.12138164911370034,0.04519510458807958,-0.07839547078212973,1.0952157066144381,1.0234009865421492,1.5332869556966495,1.0410486221741742,0.3638410338803569,-0.5210891397922605,-0.7684590303026976,1.0369489184316851,1.973222416498992,1.567385193901592,0.2351057188890278,0.5325665786363021,0.048268402086864226,0.6012810849943067,0.8979376167225459,-0.3407930902984369,1.2382092289080555,0.9551884401073463,1.2664467664087258
933,933,I feel it all.,0.10863093401388776,0.09458770575502984,0.159681279166864,0.04288877931122805,0.0825376451512313,0.00920352779188008,0.14545922064461952,0.163024069407343,0.1468000055040459,0.1162567563739149,0.04519510458807958,-0.07827550492780705,1.1417668639461802,1.0724310831949198,1.5332869556966495,0.9816677357742344,0.32450990264230856,-0.5210891397922605,-0.7684590303026976,1.066986350241313,1.973222416498992,1.582775873044699,0.2351057188890278,0.5326025005697765,-0.0073272514378018285,0.6697837927322757,0.9342169521606094,-0.33905293117365676,1.2379809446714443,0.9836886303854171,1.2643260843383899
934,934,I am inspired.,0.10711383915645831,0.0930065543550433,0.159681279166864,0.04259182785506719,0.07920325699089263,0.00920352779188008,0.14450966323360967,0.15875793534533245,0.14115390797235003,0.11493372025502242,0.04348958080998441,-0.08009415228513732,1.1239898470994711,1.0537074057580595,1.5332869556966495,0.938926373532632,0.300247733535912,-0.49512116391898864,-0.8786070650980692,1.044458276384092,1.973222416498992,1.567385193901592,0.2351057188890278,0.5327063064887758,-0.021449552120435533,0.5577677637686609,0.9000045227809953,-0.34878062789739345,1.1747059766246428,0.9836886303854171,1.2340364402675144
935,935,My eyes fill with tears.,0.10016048772657328,0.0883948627717492,0.15804180918381608,0.04377963367971063,0.07109253782438328,0.0074345062307112535,0.1442481043583586,0.15475164256436857,0.14076452193568134,0.11019880419933824,0.04428192205835055,-0.08434584038506655,1.0623360016961627,1.0337431921384694,1.5184811185652778,0.8762712122361308,0.3192843140996708,-0.47072863173252893,-0.8167938456156878,0.9787513943005305,1.9442255857752062,1.5366038356153777,0.19618429082882327,0.6036357174457846,0.031177991754708295,0.41540454661729165,0.9334867711611954,-0.34874977129140067,1.1727519164379108,0.9836886303854171,1.2993155467632453
936,936,"Yet even as I feel this, I lash my frenzy higher and higher.",0.09029937115328181,0.07811737867183664,0.1535611607088659,0.04433641766001225,0.05995558088503015,-0.0015525630300146638,0.14254358424618457,0.15433018418626335,0.1377792289878881,0.1047618746390593,0.04316606685102619,-0.09216811849098927,0.9732840821970226,0.9399490853874352,1.4607220448015426,0.7626547423550696,0.35837380744469616,-0.5908112245476171,-1.0372246103137488,0.8323189142285935,1.8862319243276353,1.5212131564722702,0.0015771505278008996,0.5323107481669529,-0.01414464743092684,0.4237697105904242,0.9386202506730873,-0.4261426529292099,1.1092007979517104,0.9266882498292756,1.2557514140683466
937,937,It foams.,0.08650663400970816,0.07416450017187029,0.15087628065360878,0.04277742251516773,0.06005941416777299,-0.0036091531787959793,0.13662547724303087,0.14920929073593028,0.13544291276787604,0.10961522600349968,0.04279387148164295,-0.09214882221247973,0.8916379189033407,0.8539551057084915,1.4212012743919207,0.7425827877583073,0.28316413271727336,-0.6504439969311363,-1.0372246103137488,0.7759987295855407,1.8572350936038495,1.4596504398998416,-0.037344277532403616,0.46168840994928106,0.037266388312171925,0.35623103104078513,0.9406019489491623,-0.34751510981473954,1.0458197781834437,0.9266882498292756,1.2518123021011411
938,938,"It becomes artificial, insincere.",0.0755076962933446,0.06270115252196781,0.14131007381015565,0.037326242212786215,0.06003764267300433,-0.014583580139856564,0.13086122848024104,0.14627371122297922,0.13497564952387361,0.10505005797816395,0.04260029021004991,-0.08782594343560113,0.8849462357625574,0.8469070774752903,1.406545407527092,0.7839687522259502,0.25666320847594065,-0.6953012376762058,-1.2097934156614931,0.612670194120688,1.7122509399849215,1.3826970441843058,-0.27087284589363053,0.3922850789905944,0.03815697443259675,0.351275877696704,1.0393558723428642,-0.34178267016871744,0.9958113078297383,0.8981880595512047,1.2545642073506862
939,939,"Words and words and words, how they gallop--how they lash their long manes and tails, but for some fault in me I cannot give myself to their backs; I cannot fly with them, scattering women and string bags. There is some flaw in me--some fatal hesitancy, which, if I pass it over, turns to foam and falsity.",0.0755076962933446,0.06270115252196781,0.14131007381015565,0.038810999493590514,0.061508055935072296,-0.014583580139856564,0.13086122848024104,0.14864223764538873,0.1400376680005665,0.10627601597512513,0.043220210454056246,-0.0869710716306458,0.8849462357625574,0.8469070774752903,1.406545407527092,0.8084999789325017,0.2754666625623309,-0.6953012376762058,-1.0996453808661215,0.612670194120688,1.7122509399849215,1.3826970441843058,-0.27087284589363053,0.46330007743309887,0.06680655568214222,0.4818149213470663,1.0697973480503125,-0.33849624437245307,0.9958470731008978,0.8981880595512047,1.2894907554201769
940,940,Yet it is incredible that I should not be a great poet.,0.07424345057882004,0.06401877868862328,0.13903807575469754,0.04003592425025406,0.06271553652954953,-0.010652517904829144,0.13086122848024104,0.14864223764538873,0.1400376680005665,0.10126373385678003,0.043220210454056246,-0.08603962045463254,0.8643733363742095,0.868575523616169,1.3766705132055093,0.8292368727847557,0.30655925581222004,-0.6051449601241417,-1.0996453808661215,0.6314435890017055,1.6832541092611357,1.3826970441843058,-0.19302998977322147,0.5344503012514017,0.16078007957108412,0.5039171138044019,1.0779932012026092,-0.33933417222749784,0.9957050756674466,0.9266882498292756,1.3690326679673182
941,941,What did I write last night if it was not good poetry?,0.07171495914977095,0.06138352635531237,0.1397732971002645,0.03814285871722858,0.06217962281216712,-0.012656282247951494,0.13205205554368935,0.14776797274535228,0.1400376680005665,0.10127150010653453,0.043220210454056246,-0.08532947215227098,0.8291702994628851,0.8314978567832463,1.3929573467080774,0.8296818776990098,0.2758854077008752,-0.6559999592858912,-1.0374885814311683,0.5938967992396704,1.6832541092611357,1.3826970441843058,-0.231951417833426,0.5344470435520681,0.1438163045559193,0.5610324331503501,1.1608655364188423,-0.4287754252916137,0.9958801260615306,0.8696878692731339,1.3729975195624124
942,942,"Am I too fast, too facile?",0.07234708200703323,0.0620423394386401,0.1409628738615755,0.03847692910540954,0.060633846683592243,-0.012401570629804017,0.1377110070140649,0.14998463482656024,0.1400376680005665,0.10127011327622124,0.043220210454056246,-0.08351115081560298,0.8965206785592681,0.9024347740582274,1.4657649338942504,0.8681757125808055,0.24197092239400714,-0.5461408085288191,-0.8467065888117202,0.6032834966801791,1.6832541092611357,1.4288690816136271,-0.231951417833426,0.5344472265449765,0.15657838456455017,0.5555637034122981,1.1533447110942001,-0.5003363621432582,0.9959915454227354,0.8696878692731339,1.3713398458580897
943,943,I do not know.,0.07361132772155776,0.06335996560529555,0.1431925985762325,0.039798363085325375,0.06056183327781898,-0.012401570629804017,0.1381213311790195,0.1535046830655118,0.14229054435557817,0.10648431788818345,0.043772007594325625,-0.08189856340457681,0.9163959876124682,0.9233684818270267,1.494626823818694,0.9602296258710288,0.26030667740759444,-0.5461408085288191,-0.8467065888117202,0.6220568915611967,1.7122509399849215,1.4442597607567342,-0.231951417833426,0.6045986537912502,0.15269988248825417,0.6582156061469752,1.267443846543183,-0.49907377164265593,0.9964819380037012,0.8411876789950631,1.4023412540895097
944,944,"I do not know myself sometimes, or how to measure and name and count out the grains that make me what I am.",0.06589942886295802,0.05532244598869728,0.13741074900541234,0.03612358881533472,0.05507374186574977,-0.019772351111763658,0.13403978488275078,0.14822495901979363,0.14168483274298244,0.10098331676742985,0.0436153134345692,-0.07853561383681268,0.8281163895426454,0.8303878241177979,1.4297482000884083,0.9110828036197782,0.21760747959142585,-0.6686385733828155,-0.9089328136210904,0.5075391827869896,1.6252604478135646,1.3673063650411983,-0.38763713007424394,0.5333088276621201,0.10334166364762319,0.6533988379708453,1.2677947498931093,-0.5063865369491231,0.933043579838952,0.7841872984389214,1.3287659880523464
945,945,"'Something now leaves me; something goes from me to meet that figure who is coming, and assures me that I know him before I see who it is.",0.06817507114910222,0.0576941730886771,0.13761374127493708,0.04187702327845139,0.05496488439190648,-0.016125620680482386,0.13565535964408013,0.14894039332444498,0.1384492202001879,0.10092506989427105,0.042589139784859106,-0.08043210246693822,0.8479104086476147,0.8512359130911233,1.434536722917053,0.9035614423069912,0.25573372933124733,-0.6132226281851869,-0.7870466695125328,0.5413312935728212,1.6252604478135646,1.398087723327413,-0.30979427395383496,0.5332650072440435,0.0262506697239428,0.6583473296040959,1.2380070174302928,-0.48703760845116806,0.9361348863778313,0.7841872984389214,1.3697241339974664
946,946,"How curiously one is changed by the addition, even at a distance, of a friend.",0.06589942886295803,0.05795769832200819,0.1389300455232398,0.03571528056311354,0.0620355960006206,-0.012247602146729373,0.13735987975625416,0.14506018974420348,0.1384492202001879,0.09778805972557629,0.042589139784859106,-0.07543630183721171,0.861103559012748,0.8868000704158774,1.4652339306254145,0.9707929911484987,0.21915343098606238,-0.5218255644208739,-0.8440536934436801,0.5450859725490248,1.6252604478135646,1.41347840247052,-0.231951417833426,0.5334865052648315,0.023773820804917852,0.6630928476097163,1.2461304397233866,-0.39675777726053096,0.9512263587898664,0.7841872984389214,1.3032092687243904
947,947,How useful an office one's friends perform when they recall us.,0.06008389857614511,0.0518966179553931,0.13716673911762675,0.03593057036883016,0.0570331763949292,-0.012247602146729373,0.13565777120318648,0.1429981785058705,0.13911117646252466,0.10325050696362001,0.04288699052796882,-0.07236522260226441,0.8051165385032202,0.8278316325890689,1.4475597047935995,0.907948717106983,0.21492704427715534,-0.5218255644208739,-0.9115053137984274,0.4587283560963439,1.5962636170897793,1.3826970441843058,-0.231951417833426,0.6044885197221411,0.09551594344260034,0.7777553369947714,1.2454051395356327,-0.47427802504239314,0.9515681611993994,0.7271869178827799,1.2430230951577639
948,948,"Yet how painful to be recalled, to be mitigated, to have one's self adulterated, mixed up, become part of another.",0.05907250200452547,0.05084251702206873,0.13716673911762675,0.03503971600034758,0.05461486574524109,-0.014237401604126227,0.13565777120318648,0.1429981785058705,0.13911117646252466,0.10285969818133081,0.04288699052796882,-0.07295152193162117,0.8340041908791221,0.8582576084239667,1.4475597047935995,0.9509882375133033,0.22142733539226303,-0.47313560965848916,-0.9115053137984274,0.45309633763203855,1.5962636170897793,1.3826970441843058,-0.27087284589363053,0.6757948088295493,0.1530249633893114,0.8755002331120826,1.2709439653267485,-0.4042556032997173,1.007848880035885,0.7841872984389214,1.3468138764632906
949,949,As he approaches I become not myself but Neville mixed with somebody--with whom?--with Bernard?,0.05907250200452547,0.05084251702206873,0.13716673911762675,0.036821424737312744,0.05333202228425695,-0.014237401604126227,0.13723386293144924,0.14506018974420348,0.13911117646252466,0.10830189769680029,0.04288699052796882,-0.07309061455317928,0.8340041908791221,0.8582576084239667,1.4475597047935995,1.0332539793957944,0.18523749676351312,-0.47313560965848916,-0.9115053137984274,0.45309633763203855,1.5962636170897793,1.398087723327413,-0.27087284589363053,0.7465931330294426,0.2220187873289903,0.9289203904701241,1.2417203524456009,-0.3883142551530243,1.0091236830777777,0.8126874887169923,1.4248765123297193
950,950,"Yes, it is Bernard, and it is to Bernard that I shall put the question, Who am I?'",0.054015519146427285,0.04557201235544691,0.13042167359409787,0.03887038978482268,0.05549912337892206,-0.01824493029037093,0.129488441181043,0.14942036823769209,0.13803647100131908,0.11347671632786467,0.042362639435780794,-0.07128281427171435,0.9099768745842876,0.9382759847339086,1.4945581192082216,1.1151812669284367,0.19070673750320172,-0.3714256113349904,-0.9115053137984274,0.39302147401278237,1.5382699556422077,1.3519156858980912,-0.30979427395383496,0.8178575465503815,0.2924396245252043,0.9641760820646821,1.317040678194867,-0.3011048181462893,1.0723105542150242,0.8696878692731339,1.4698574420258015
951,951,"'How strange,' said Bernard, 'the willow looks seen together. I was Byron, and the tree was Byron's tree, lachrymose, down-showering, lamenting.",0.04807356428816191,0.03937916937216627,0.12746012505536483,0.037088681047857515,0.05440384971902176,-0.024206115915297352,0.12607940095669493,0.14586339885156768,0.1377444314738176,0.10832436434787582,0.042050369368404214,-0.07000854227251237,0.8334178978938565,0.85764009420129,1.485431188234391,1.0932881638956684,0.1779107813342216,-0.46470757338827545,-0.9115053137984274,0.29539982063149106,1.5092731249184221,1.321134327611877,-0.42655855813444843,0.8177125608435295,0.2542350236613079,0.9423943881475532,1.282055022143674,-0.30963921501264774,1.0096255592928076,0.8696878692731339,1.4568098911209995
952,952,"Now that we look at the tree together, it has a combined look, each branch distinct, and I will tell you what I feel, under the compulsion of your clarity.",0.04996993285994874,0.04135560862214945,0.12746012505536483,0.04047392764809133,0.057177203206475714,-0.024206115915297352,0.12607940095669493,0.14514796454691634,0.1333638385612949,0.10830078823254964,0.04173870238280251,-0.0703755401138051,0.8248116366197875,0.8485755328397001,1.485431188234391,1.1186377074618508,0.2074797112237962,-0.46470757338827545,-1.1074472489786318,0.2860131231909822,1.5092731249184221,1.321134327611877,-0.42655855813444843,0.8889917457222564,0.35110158898764493,0.8791931738644687,1.2827224123692074,-0.21986484337891124,1.0719477503926813,0.9266882498292756,1.4699105548672347
953,953,"'I feel your disapproval, I feel your force.",0.04680931857363737,0.03806154320551081,0.12463354859954674,0.03352526357392719,0.05476056728715442,-0.023929598246704393,0.12480109514754856,0.13601381206143587,0.1286077662562703,0.10901250954933753,0.04073683702338239,-0.06913535527823382,0.8118791035760996,0.8661604464160183,1.4451388538685117,1.0748737939547501,0.15791155599453835,-0.435441232113814,-1.1895467467754532,0.2860131231909823,1.4512794634708512,1.2903529693256626,-0.42655855813444843,0.8889423546595975,0.44503196339759704,0.9681229102361412,1.2492521817819862,-0.2197298725956068,1.0725409885465345,0.9266882498292756,1.4819701974513173
954,954,"I become, with you, an untidy, an impulsive human being whose bandanna handkerchief is for ever stained with the grease of crumpets.",0.04807356428816191,0.039379169372166276,0.12744012814822642,0.03365889172919958,0.056467117530944015,-0.02185001953169429,0.12795327860407407,0.13933462543073769,0.1286077662562703,0.10901722477240276,0.04073683702338239,-0.06945622606004945,0.8409735769084384,0.8968042568240001,1.4873883345925571,1.1136542597313852,0.16579813526288126,-0.371691116890213,-1.1895467467754532,0.3047865180719999,1.4802762941946366,1.321134327611877,-0.38763713007424394,0.8894705253887137,0.49122685814426126,0.9004118953406715,1.2581391192818774,-0.21950944688936622,1.072515791409668,0.9836886303854171,1.54517227602045
955,955,"Yes, I hold Gray's Elegy in one hand; with the other I scoop out the bottom crumpet, that has absorbed all the butter and sticks to the bottom of the plate.",0.05123417857447328,0.040037982455494,0.1317140821393664,0.03365889172919958,0.05583071999155241,-0.02190044346697531,0.1289787259101615,0.1388302686278481,0.1286077662562703,0.10903358937009974,0.04073683702338239,-0.06900372041488341,0.8841988747514662,0.9004639699888137,1.54064297358615,1.0952482276416928,0.16791142636102563,-0.3784345901730301,-1.1895467467754532,0.31417321551250865,1.5382699556422077,1.336525006754984,-0.38763713007424394,0.8895690351524934,0.4681117677342944,0.9749186775182984,1.26159757368227,-0.22275173856996144,1.0709800158509382,0.9836886303854171,1.5469142597906929
956,956,This offends you; I feel your distress acutely.,0.05098132943156838,0.039774457222162905,0.1317140821393664,0.03544060046616475,0.0566329158372592,-0.024082229717138193,0.12680920811675125,0.13563275795759527,0.1286077662562703,0.10893900754273238,0.04073683702338239,-0.06797423340039763,0.8918965488478431,0.908571560145107,1.54064297358615,1.1765928129020393,0.19819001770841949,-0.29410111470634953,-1.3244499874849467,0.3104185365363052,1.5382699556422077,1.321134327611877,-0.42655855813444843,0.8186770568843651,0.5093887672638352,0.9155256667524219,1.2613566294244436,-0.21133466103355522,1.0091208985909206,0.9836886303854171,1.4994761341143332
