"","sent_raw","syuzhet","bing","afinn","nrc"
"555","554,""Its a mystery, replied the Lion.""",-0.3,-1,0,1
"556","555,I suppose I was born that way.",0,0,0,0
"557","556,""All the other animals in the forest naturally expect me to be brave, for the Lion is everywhere thought to be the King of Beasts.""",1.1,1,2,3
"558","557,I learned that if I roared very loudly every living thing was frightened and got out of my way.",-0.5,0,-2,-1
"559","558,""Whenever Ive met a man Ive been awfully scared; but I just roared at him, and he has always run away as fast as he could go.""",-1.5,-1,-2,0
"560","559,""If the elephants and the tigers and the bears had ever tried to fight me, I should have run myselfIm such a coward; but just as soon as they hear me roar they all try to get away from me, and of course I let them go.""",-1.5,-1,-3,-2
"561","560,But that isnt right.",0.8,1,0,0
"562","561,""The King of Beasts shouldnt be a coward, said the Scarecrow.""",-0.9,-1,-2,0
"563","562,""I know it, returned the Lion, wiping a tear from his eye with the tip of his tail.""",0.1,0,0,1
"564","563,""It is my great sorrow, and makes my life very unhappy.""",-1.25,-1,-1,-2
"565","564,""But whenever there is danger, my heart begins to beat fast.""",-0.75,0,-2,-1
"566","565,""Perhaps you have heart disease, said the Tin Woodman.""",-1,0,-1,-1
"567","566,""It may be, said the Lion.""",0.1,0,0,1
"568","567,""If you have, continued the Tin Woodman, you ought to be glad, for it proves you have a heart.""",1.25,2,3,1
"569","568,""For my part, I have no heart; so I cannot have heart disease.""",-1,0,-2,-1
"570","569,""Perhaps, said the Lion thoughtfully, if I had no heart I should not be a coward.""",0.1,0,-3,0
"571","570,Have you brains?",0.6,0,0,1
"572","571,asked the Scarecrow.",0,0,0,0
"573","572,I suppose so.",0,0,0,0
"574","573,""Ive never looked to see, replied the Lion.""",0.1,0,0,1
"575","574,""I am going to the Great Oz to ask him to give me some, remarked the Scarecrow, for my head is stuffed with straw.""",0.5,1,3,0
"576","575,""And I am going to ask him to give me a heart, said the Woodman.""",0,0,0,0
"577","576,""And I am going to ask him to send Toto and me back to Kansas, added Dorothy.""",0,0,0,0
"578","577,Do you think Oz could give me courage?",0.75,1,2,1
"579","578,asked the Cowardly Lion.",-0.9,-1,-2,0
"580","579,""Just as easily as he could give me brains, said the Scarecrow.""",0.6,0,0,1
"581","580,""Or give me a heart, said the Tin Woodman.""",0,0,0,0
"582","581,""Or send me back to Kansas, said Dorothy.""",0,0,0,0
"583","582,""Then, if you dont mind, Ill go with you, said the Lion, for my life is simply unbearable without a bit of courage.""",-0.4,0,-2,0
"584","583,""You will be very welcome, answered Dorothy, for you will help to keep away the other wild beasts.""",0.25,0,4,-1
"585","584,It seems to me they must be more cowardly than you are if they allow you to scare them so easily.",-1.5,-2,-3,-2
"586","585,""They really are, said the Lion, but that doesnt make me any braver, and as long as I know myself to be a coward I shall be unhappy.""",-1.65,-2,-4,-1
"587","586,""So once more the little company set off upon the journey, the Lion walking with stately strides at Dorothys side.""",1.25,1,0,3
"588","587,""Toto did not approve of this new comrade at first, for he could not forget how nearly he had been crushed between the Lions great jaws.""",1.55,1,0,0
"589","588,""But after a time he became more at ease, and presently Toto and the Cowardly Lion had grown to be good friends.""",0.6,1,3,2
"590","589,During the rest of that day there was no other adventure to mar the peace of their journey.",1.15,0,3,3
"591","590,""Once, indeed, the Tin Woodman stepped upon a beetle that was crawling along the road, and killed the poor little thing.""",-1,-2,-5,0
"592","591,""This made the Tin Woodman very unhappy, for he was always careful not to hurt any living creature; and as he walked along he wept several tears of sorrow and regret.""",-4.05,-4,-8,-4
"593","592,""These tears ran slowly down his face and over the hinges of his jaw, and there they rusted.""",-1.05,-1,-2,0
"594","593,""When Dorothy presently asked him a question the Tin Woodman could not open his mouth, for his jaws were tightly rusted together.""",0,0,0,1
"595","594,""He became greatly frightened at this and made many motions to Dorothy to relieve him, but she could not understand.""",0.5,0,-1,-1
"596","595,The Lion was also puzzled to know what was wrong.",-1.4,-2,-4,0
"597","596,""But the Scarecrow seized the oil-can from Dorothys basket and oiled the Woodmans jaws, so that after a few moments he could talk as well as before.""",0.35,1,0,1
"598","597,""This will serve me a lesson, said he, to look where I step.""",0.4,0,0,0
"599","598,""For if I should kill another bug or beetle I should surely cry again, and crying rusts my jaws so that I cannot speak.""",-2.75,-4,-6,-4
"600","599,""Thereafter he walked very carefully, with his eyes on the road, and when he saw a tiny ant toiling by he would step over it, so as not to harm it.""",-0.5,-1,0,0
"601","600,""The Tin Woodman knew very well he had no heart, and therefore he took great care never to be cruel or unkind to anything.""",0.8,0,1,-2
"602","601,""You people with hearts, he said, have something to guide you, and need never do wrong; but I have no heart, and so I must be very careful.""",0.1,-1,-1,1
"603","602,When Oz gives me a heart of course I neednt mind so much.",0,0,0,0
"604","603,The Journey to the Great Oz",0.9,1,3,1
"605","604,""They were obliged to camp out that night under a large tree in the forest, for there were no houses near.""",0,0,-1,1
"606","605,""The tree made a good, thick covering to protect them from the dew, and the Tin Woodman chopped a great pile of wood with his axe and Dorothy built a splendid fire that warmed her and made her feel less lonely.""",1.35,3,5,3
"607","606,""She and Toto ate the last of their bread, and now she did not know what they would do for breakfast.""",0.6,0,0,1
"608","607,""If you wish, said the Lion, I will go into the forest and kill a deer for you.""",0.15,-1,-2,0
"609","608,""You can roast it by the fire, since your tastes are so peculiar that you prefer cooked food, and then you will have a very good breakfast.""",1.35,1,1,4
"610","609,Dont!",0,0,0,0
"611","610,""Please dont, begged the Tin Woodman.""",1,0,1,0
"612","611,""I should certainly weep if you killed a poor deer, and then my jaws would rust again.""",-2.25,-4,-7,-2
"613","612,""But the Lion went away into the forest and found his own supper, and no one ever knew what it was, for he didnt mention it.""",0.7,0,-1,2
"614","613,""And the Scarecrow found a tree full of nuts and filled Dorothys basket with them, so that she would not be hungry for a long time.""",0.1,0,-3,2
"615","614,""She thought this was very kind and thoughtful of the Scarecrow, but she laughed heartily at the awkward way in which the poor creature picked up the nuts.""",1.3,0,-2,2
"616","615,His padded hands were so clumsy and the nuts were so small that he dropped almost as many as he put in the basket.",-1,-1,-4,-2
"617","616,""But the Scarecrow did not mind how long it took him to fill the basket, for it enabled him to keep away from the fire, as he feared a spark might get into his straw and burn him up.""",0.05,-1,-1,0
"618","617,""So he kept a good distance away from the flames, and only came near to cover Dorothy with dry leaves when she lay down to sleep.""",0.75,1,3,1
"619","618,""These kept her very snug and warm, and she slept soundly until morning.""",0.75,2,1,0
"620","619,""When it was daylight, the girl bathed her face in a little rippling brook, and soon after they all started toward the Emerald City.""",0,0,0,0
"621","620,This was to be an eventful day for the travelers.",0.4,1,0,0
"622","621,They had hardly been walking an hour when they saw before them a great ditch that crossed the road and divided the forest as far as they could see on either side.",0.5,1,3,0
"623","622,""It was a very wide ditch, and when they crept up to the edge and looked into it they could see it was also very deep, and there were many big, jagged rocks at the bottom.""",-0.95,-2,1,-1
"624","623,""The sides were so steep that none of them could climb down, and for a moment it seemed that their journey must end.""",0.15,-1,0,1
"625","624,What shall we do?",0,0,0,0
"626","625,asked Dorothy despairingly.",0,-1,0,0
"627","626,""I havent the faintest idea, said the Tin Woodman, and the Lion shook his shaggy mane and looked thoughtful.""",1.1,1,2,2
"628","627,""But the Scarecrow said, We cannot fly, that is certain.""",0.8,0,1,0
"629","628,Neither can we climb down into this great ditch.",0.5,1,3,0
"630","629,""Therefore, if we cannot jump over it, we must stop where we are.""",-0.4,0,-1,1
"631","630,""I think I could jump over it, said the Cowardly Lion, after measuring the distance carefully in his mind.""",-0.65,-1,0,2
"632","631,""Then we are all right, answered the Scarecrow, for you can carry us all over on your back, one at a time.""",0.8,1,0,0
"633","632,""Well, Ill try it, said the Lion.""",0.4,1,-2,0
"634","633,Who will go first?",0,0,0,0
"635","634,""I will, declared the Scarecrow, for, if you found that you could not jump over the gulf, Dorothy would be killed, or the Tin Woodman badly dented on the rocks below.""",-1.25,-3,-6,1
"636","635,""But if I am on your back it will not matter so much, for the fall would not hurt me at all.""",-1,-2,-1,-2
"637","636,""I am terribly afraid of falling, myself, said the Cowardly Lion, but I suppose there is nothing to do but try it.""",-2.9,-4,-8,-2
"638","637,So get on my back and we will make the attempt.",0,0,0,0
"639","638,""The Scarecrow sat upon the Lions back, and the big beast walked to the edge of the gulf and crouched down.""",-0.25,0,1,-1
"640","639,Why dont you run and jump?",0,0,0,1
"641","640,asked the Scarecrow.",0,0,0,0
"642","641,""Because that isnt the way we Lions do these things, he replied.""",0,0,0,0
"643","642,""Then giving a great spring, he shot through the air and landed safely on the other side.""",0.85,2,4,1
"644","643,""They were all greatly pleased to see how easily he did it, and after the Scarecrow had got down from his back the Lion sprang across the ditch again.""",0.6,1,3,2
"645","644,""Dorothy thought she would go next; so she took Toto in her arms and climbed on the Lions back, holding tightly to his mane with one hand.""",0,0,0,0
"646","645,""The next moment it seemed as if she were flying through the air; and then, before she had time to think about it, she was safe on the other side.""",0.85,1,1,2
"647","646,""The Lion went back a third time and got the Tin Woodman, and then they all sat down for a few moments to give the beast a chance to rest, for his great leaps had made his breath short, and he panted like a big dog that has been running too long.""",1.1,2,8,1
"648","647,""They found the forest very thick on this side, and it looked dark and gloomy.""",-1,-2,-2,0
"649","648,""After the Lion had rested they started along the road of yellow brick, silently wondering, each in his own mind, if ever they would come to the end of the woods and reach the bright sunshine again.""",1.1,1,4,2
"650","649,""To add to their discomfort, they soon heard strange noises in the depths of the forest, and the Lion whispered to them that it was in this part of the country that the Kalidahs lived.""",-0.9,-3,-3,0
"651","650,What are the Kalidahs?",0,0,0,0
"652","651,asked the girl.",0,0,0,0
"653","652,""They are monstrous beasts with bodies like bears and heads like tigers, replied the Lion, and with claws so long and sharp that they could tear me in two as easily as I could kill Toto.""",-0.65,0,-1,0
"654","653,Im terribly afraid of the Kalidahs.",-1.25,-2,-5,-1
"655","654,""Im not surprised that you are, returned Dorothy.""",0,0,0,0
"656","655,They must be dreadful beasts.",-0.75,-1,-3,-1
"657","656,The Lion was about to reply when suddenly they came to another gulf across the road.",0.1,0,0,1
"658","657,But this one was so broad and deep that the Lion knew at once he could not leap across it.",0.1,0,0,1
"659","658,""So they sat down to consider what they should do, and after serious thought the Scarecrow said:""",0,0,0,0
"660","659,""Here is a great tree, standing close to the ditch.""",0.5,1,3,2
"661","660,""If the Tin Woodman can chop it down, so that it will fall to the other side, we can walk across it easily.""",-0.5,-1,0,-2
"662","661,""That is a first-rate idea, said the Lion.""",1.1,0,0,1
"663","662,""One would almost suspect you had brains in your head, instead of straw.""",-0.15,-1,-1,0
"664","663,""The Woodman set to work at once, and so sharp was his axe that the tree was soon chopped nearly through.""",-0.4,2,-1,1
"665","664,""Then the Lion put his strong front legs against the tree and pushed with all his might, and slowly the big tree tipped and fell with a crash across the ditch, with its top branches on the other side.""",-0.65,-1,3,1
"666","665,""They had just started to cross this queer bridge when a sharp growl made them all look up, and to their horror they saw running toward them two great beasts with bodies like bears and heads like tigers.""",-0.75,1,5,-3
"667","666,""They are the Kalidahs! said the Cowardly Lion, beginning to tremble.""",-0.9,-1,-2,0
"668","667,Quick! cried the Scarecrow.",-1,0,-2,0
"669","668,Let us cross over.",0,0,0,-1
"670","669,""So Dorothy went first, holding Toto in her arms, the Tin Woodman followed, and the Scarecrow came next.""",0,0,0,0
"671","670,""The Lion, although he was certainly afraid, turned to face the Kalidahs, and then he gave so loud and terrible a roar that Dorothy screamed and the Scarecrow fell over backward, while even the fierce beasts stopped short and looked at him in surprise.""",-3.55,-6,-8,-3
"672","671,""But, seeing they were bigger than the Lion, and remembering that there were two of them and only one of him, the Kalidahs again rushed forward, and the Lion crossed over the tree and turned to see what they would do next.""",0.7,0,0,3
"673","672,Without stopping an instant the fierce beasts also began to cross the tree.",-0.9,-1,-1,-1
"674","673,And the Lion said to Dorothy:",0.1,0,0,1
"675","674,""We are lost, for they will surely tear us to pieces with their sharp claws.""",-0.75,0,-3,-1
"676","675,""But stand close behind me, and I will fight them as long as I am alive.""",0,0,0,0
"677","676,Wait a minute! called the Scarecrow.",-0.25,0,0,-1
"678","677,""He had been thinking what was best to be done, and now he asked the Woodman to chop away the end of the tree that rested on their side of the ditch.""",0.25,1,3,0
"679","678,""The Tin Woodman began to use his axe at once, and, just as the two Kalidahs were nearly across, the tree fell with a crash into the gulf, carrying the ugly, snarling brutes with it, and both were dashed to pieces on the sharp rocks at the bottom.""",-2.65,-2,-6,-5
"680","679,""Well, said the Cowardly Lion, drawing a long breath of relief, I see we are going to live a little while longer, and I am glad of it, for it must be a very uncomfortable thing not to be alive.""",0.9,1,0,2
"681","680,Those creatures frightened me so badly that my heart is beating yet.",-1.75,-1,-6,-3
"682","681,""Ah, said the Tin Woodman sadly, I wish I had a heart to beat.""",-0.2,-1,-1,-1
"683","682,""This adventure made the travelers more anxious than ever to get out of the forest, and they walked so fast that Dorothy became tired, and had to ride on the Lions back.""",-1,-1,-2,-1
"684","683,""To their great joy the trees became thinner the farther they advanced, and in the afternoon they suddenly came upon a broad river, flowing swiftly just before them.""",2.6,4,9,2
"685","684,""On the other side of the water they could see the road of yellow brick running through a beautiful country, with green meadows dotted with bright flowers and all the road bordered with trees hanging full of delicious fruits.""",2.1,3,7,3
"686","685,They were greatly pleased to see this delightful country before them.",1.5,2,6,2
"687","686,How shall we cross the river?",0,0,0,-1
"688","687,asked Dorothy.",0,0,0,0
"689","688,""That is easily done, replied the Scarecrow.""",0,0,0,0
"690","689,""The Tin Woodman must build us a raft, so we can float to the other side.""",0.1,0,0,1
"691","690,""So the Woodman took his axe and began to chop down small trees to make a raft, and while he was busy at this the Scarecrow found on the riverbank a tree full of fine fruit.""",0.2,1,1,1
"692","691,""This pleased Dorothy, who had eaten nothing but nuts all day, and she made a hearty meal of the ripe fruit.""",1.25,1,0,2
"693","692,""But it takes time to make a raft, even when one is as industrious and untiring as the Tin Woodman, and when night came the work was not done.""",1.25,2,0,0
"694","693,""So they found a cozy place under the trees where they slept well until the morning; and Dorothy dreamed of the Emerald City, and of the good Wizard Oz, who would soon send her back to her own home again.""",3.55,3,3,3
"695","694,The Deadly Poppy Field",-0.75,-1,-3,-1
"696","695,""Our little party of travelers awakened the next morning refreshed and full of hope, and Dorothy breakfasted like a princess off peaches and plums from the trees beside the river.""",2.35,2,4,3
"697","696,""Behind them was the dark forest they had passed safely through, although they had suffered many discouragements; but before them was a lovely, sunny country that seemed to beckon them on to the Emerald City.""",0.85,1,2,2
"698","697,""To be sure, the broad river now cut them off from this beautiful land.""",0.5,1,2,2
"699","698,""But the raft was nearly done, and after the Tin Woodman had cut a few more logs and fastened them together with wooden pins, they were ready to start.""",0.55,1,-1,0
"700","699,Dorothy sat down in the middle of the raft and held Toto in her arms.",0,0,0,0
"701","700,""When the Cowardly Lion stepped upon the raft it tipped badly, for he was big and heavy; but the Scarecrow and the Tin Woodman stood upon the other end to steady it, and they had long poles in their hands to push the raft through the water.""",-0.8,-1,-4,-1
"702","701,""They got along quite well at first, but when they reached the middle of the river the swift current swept the raft downstream, farther and farther away from the road of yellow brick.""",1.55,2,3,1
"703","702,And the water grew so deep that the long poles would not touch the bottom.",0,0,0,-1
"704","703,""This is bad, said the Tin Woodman, for if we cannot get to the land we shall be carried into the country of the Wicked Witch of the West, and she will enchant us and make us her slaves.""",-2.4,-2,-8,-1
"705","704,""And then I should get no brains, said the Scarecrow.""",0.6,0,-1,1
"706","705,""And I should get no courage, said the Cowardly Lion.""",-0.15,0,-1,1
"707","706,""And I should get no heart, said the Tin Woodman.""",0,0,-1,0
"708","707,""And I should never get back to Kansas, said Dorothy.""",0,0,0,0
"709","708,""We must certainly get to the Emerald City if we can, the Scarecrow continued, and he pushed so hard on his long pole that it stuck fast in the mud at the bottom of the river.""",-0.75,-1,-3,-2
"710","709,""Then, before he could pull it out againor let gothe raft was swept away, and the poor Scarecrow was left clinging to the pole in the middle of the river.""",-0.5,-1,-2,1
"711","710,""Good-bye! he called after them, and they were very sorry to leave him.""",-0.75,0,1,0
"712","711,""Indeed, the Tin Woodman began to cry, but fortunately remembered that he might rust, and so dried his tears on Dorothys apron.""",-0.8,-1,-1,-2
"713","712,Of course this was a bad thing for the Scarecrow.",-0.75,-1,-3,-1
"714","713,""I am now worse off than when I first met Dorothy, he thought.""",-0.75,-1,-3,-1
"715","714,""Then, I was stuck on a pole in a cornfield, where I could make-believe scare the crows, at any rate.""",-1,-2,-4,-1
"716","715,But surely there is no use for a Scarecrow stuck on a pole in the middle of a river.",-0.25,-1,-3,0
"717","716,""I am afraid I shall never have any brains, after all!""",-0.15,-1,-2,0
"718","717,""Down the stream the raft floated, and the poor Scarecrow was left far behind.""",-0.5,-1,-2,0
"719","718,Then the Lion said:",0.1,0,0,1
"720","719,Something must be done to save us.",0.5,0,2,1
"721","720,""I think I can swim to the shore and pull the raft after me, if you will only hold fast to the tip of my tail.""",0,1,0,2
"722","721,""So he sprang into the water, and the Tin Woodman caught fast hold of his tail.""",-0.25,1,0,0
"723","722,Then the Lion began to swim with all his might toward the shore.",0.1,0,0,2
"724","723,""It was hard work, although he was so big; but by and by they were drawn out of the current, and then Dorothy took the Tin Woodmans long pole and helped push the raft to the land.""",1.05,1,0,1
"725","724,""They were all tired out when they reached the shore at last and stepped off upon the pretty green grass, and they also knew that the stream had carried them a long way past the road of yellow brick that led to the Emerald City.""",0.4,1,0,1
"726","725,What shall we do now?",0,0,0,0
"727","726,""asked the Tin Woodman, as the Lion lay down on the grass to let the sun dry him.""",0.7,0,0,2
"728","727,""We must get back to the road, in some way, said Dorothy.""",0,0,0,0
"729","728,""The best plan will be to walk along the riverbank until we come to the road again, remarked the Lion.""",0.6,1,3,1
"730","729,""So, when they were rested, Dorothy picked up her basket and they started along the grassy bank, to the road from which the river had carried them.""",0,0,0,0
"731","730,""It was a lovely country, with plenty of flowers and fruit trees and sunshine to cheer them, and had they not felt so sorry for the poor Scarecrow, they could have been very happy.""",1.75,1,7,4
"732","731,""They walked along as fast as they could, Dorothy only stopping once to pick a beautiful flower; and after a time the Tin Woodman cried out: Look!""",-0.65,2,0,2
"733","732,""Then they all looked at the river and saw the Scarecrow perched upon his pole in the middle of the water, looking very lonely and sad.""",-1.25,-2,-4,-1
"734","733,What can we do to save him?",0.5,0,2,1
"735","734,asked Dorothy.",0,0,0,0
"736","735,""The Lion and the Woodman both shook their heads, for they did not know.""",0.1,0,0,1
"737","736,""So they sat down upon the bank and gazed wistfully at the Scarecrow until a Stork flew by, who, upon seeing them, stopped to rest at the waters edge.""",-0.4,0,-1,1
"738","737,Who are you and where are you going?",0,0,0,0
"739","738,asked the Stork.",0,0,0,0
"740","739,""I am Dorothy, answered the girl, and these are my friends, the Tin Woodman and the Cowardly Lion; and we are going to the Emerald City.""",-0.9,-1,-2,0
"741","740,""This isnt the road, said the Stork, as she twisted her long neck and looked sharply at the queer party.""",-0.75,-3,0,0
"742","741,""I know it, returned Dorothy, but we have lost the Scarecrow, and are wondering how we shall get him again.""",-0.75,-1,-3,-1
"743","742,Where is he?",0,0,0,0
"744","743,asked the Stork.",0,0,0,0
"745","744,""Over there in the river, answered the little girl.""",0,0,0,0
"746","745,""If he wasnt so big and heavy I would get him for you, remarked the Stork.""",0.25,0,1,0
"747","746,""He isnt heavy a bit, said Dorothy eagerly, for he is stuffed with straw; and if you will bring him back to us, we shall thank you ever and ever so much.""",1.3,2,2,0
"748","747,""Well, Ill try, said the Stork, but if I find he is too heavy to carry I shall have to drop him in the river again.""",0.3,1,-3,-1
"749","748,So the big bird flew into the air and over the water till she came to where the Scarecrow was perched upon his pole.",0.25,0,1,0
"750","749,""Then the Stork with her great claws grabbed the Scarecrow by the arm and carried him up into the air and back to the bank, where Dorothy and the Lion and the Tin Woodman and Toto were sitting.""",0.6,1,3,1
"751","750,""When the Scarecrow found himself among his friends again, he was so happy that he hugged them all, even the Lion and Toto; and as they walked along he sang Tol-de-ri-de-oh! at every step, he felt so gay.""",1.45,1,3,3
"752","751,""I was afraid I should have to stay in the river forever, he said, but the kind Stork saved me, and if I ever get any brains I shall find the Stork again and do her some kindness in return.""",1.65,0,4,2
"753","752,""Thats all right, said the Stork, who was flying along beside them.""",0.9,1,0,1
"754","753,I always like to help anyone in trouble.",0,0,2,0
"755","754,""But I must go now, for my babies are waiting in the nest for me. I hope you will find the Emerald City and that Oz will help you.""",0.5,0,4,1
"756","755,""Thank you, replied Dorothy, and then the kind Stork flew into the air and was soon out of sight.""",1,1,4,1
"757","756,They walked along listening to the singing of the brightly colored birds and looking at the lovely flowers which now became so thick that the ground was carpeted with them.",1.35,1,3,1
"758","757,""There were big yellow and white and blue and purple blossoms, besides great clusters of scarlet poppies, which were so brilliant in color they almost dazzled Dorothys eyes.""",2.7,3,8,2
"759","758,Arent they beautiful?",0.75,1,3,1
"760","759,""the girl asked, as she breathed in the spicy scent of the bright flowers.""",0.5,1,1,0
"761","760,""I suppose so, answered the Scarecrow.""",0,0,0,0
"762","761,""When I have brains, I shall probably like them better.""",1.9,2,4,1
"763","762,""If I only had a heart, I should love them, added the Tin Woodman.""",0.75,1,3,1
"764","763,""I always did like flowers, said the Lion.""",0.6,1,2,1
"765","764,They seem so helpless and frail.",-1.55,-2,-2,-1
"766","765,But there are none in the forest so bright as these.",0.5,1,1,0
"767","766,""They now came upon more and more of the big scarlet poppies, and fewer and fewer of the other flowers; and soon they found themselves in the midst of a great meadow of poppies.""",1.95,1,4,2
"768","767,""Now it is well known that when there are many of these flowers together their odor is so powerful that anyone who breathes it falls asleep, and if the sleeper is not carried away from the scent of the flowers, he sleeps on and on forever.""",1.3,0,2,0
"769","768,""But Dorothy did not know this, nor could she get away from the bright red flowers that were everywhere about; so presently her eyes grew heavy and she felt she must sit down to rest and to sleep.""",0.5,1,1,1
"770","769,But the Tin Woodman would not let her do this.",0,0,0,0
"771","770,""We must hurry and get back to the road of yellow brick before dark, he said; and the Scarecrow agreed with him.""",-0.1,-1,1,1
"772","771,So they kept walking until Dorothy could stand no longer.",0,0,-1,0
"773","772,""Her eyes closed in spite of herself and she forgot where she was and fell among the poppies, fast asleep.""",-1,-1,-1,-2
"774","773,What shall we do?",0,0,0,0
"775","774,asked the Tin Woodman.",0,0,0,0
"776","775,""If we leave her here she will die, said the Lion.""",-0.9,-1,-4,-1
"777","776,The smell of the flowers is killing us all.",-1,-2,-3,-2
"778","777,""I myself can scarcely keep my eyes open, and the dog is asleep already.""",-0.5,-1,0,-1
"779","778,It was true; Toto had fallen down beside his little mistress.",-0.5,-2,0,0
"780","779,""But the Scarecrow and the Tin Woodman, not being made of flesh, were not troubled by the scent of the flowers.""",-0.75,-1,-2,0
"781","780,""Run fast, said the Scarecrow to the Lion, and get out of this deadly flower bed as soon as you can.""",-0.65,0,-3,0
"782","781,""We will bring the little girl with us, but if you should fall asleep you are too big to be carried.""",0,-1,1,-1
"783","782,So the Lion aroused himself and bounded forward as fast as he could go.",1.5,1,0,2
"784","783,In a moment he was out of sight.",0,0,0,0
"785","784,""Let us make a chair with our hands and carry her, said the Scarecrow.""",0,0,0,0
"786","785,""So they picked up Toto and put the dog in Dorothys lap, and then they made a chair with their hands for the seat and their arms for the arms and carried the sleeping girl between them through the flowers.""",0,0,0,0
"787","786,""On and on they walked, and it seemed that the great carpet of deadly flowers that surrounded them would never end.""",-0.25,0,0,-1
"788","787,""They followed the bend of the river, and at last came upon their friend the Lion, lying fast asleep among the poppies.""",0.4,0,1,1
"789","788,""The flowers had been too strong for the huge beast and he had given up at last, and fallen only a short distance from the end of the poppy bed, where the sweet grass spread in beautiful green fields before them.""",1,2,6,2
"790","789,""We can do nothing for him, said the Tin Woodman, sadly; for he is much too heavy to lift.""",-1,-1,-2,-1
"791","790,""We must leave him here to sleep on forever, and perhaps he will dream that he has found courage at last.""",1.35,1,2,1
"792","791,""Im sorry, said the Scarecrow.""",-0.5,-1,-1,0
"793","792,The Lion was a very good comrade for one so cowardly.",0.85,0,1,2
"794","793,But let us go on.",0,0,0,0
"795","794,""They carried the sleeping girl to a pretty spot beside the river, far enough from the poppy field to prevent her breathing any more of the poison of the flowers, and here they laid her gently on the soft grass and waited for the fresh breeze to waken her.""",0.7,4,-1,0
"796","795,The Queen of the Field Mice",0,0,0,0
"797","796,""We cannot be far from the road of yellow brick, now, remarked the Scarecrow, as he stood beside the girl, for we have come nearly as far as the river carried us away.""",0,0,0,0
"798","797,""The Tin Woodman was about to reply when he heard a low growl, and turning his head (which worked beautifully on hinges) he saw a strange beast come bounding over the grass toward them.""",-0.25,0,2,-2
"799","798,""It was, indeed, a great yellow Wildcat, and the Woodman thought it must be chasing something, for its ears were lying close to its head and its mouth was wide open, showing two rows of ugly teeth, while its red eyes glowed like balls of fire.""",-0.5,0,0,-3
"800","799,""As it came nearer the Tin Woodman saw that running before the beast was a little gray field mouse, and although he had no heart he knew it was wrong for the Wildcat to try to kill such a pretty, harmless creature.""",-0.7,0,-6,-4
"801","800,""So the Woodman raised his axe, and as the Wildcat ran by he gave it a quick blow that cut the beasts head clean off from its body, and it rolled over at his feet in two pieces.""",-0.3,0,0,0
"802","801,""The field mouse, now that it was freed from its enemy, stopped short; and coming slowly up to the Woodman it said, in a squeaky little voice:""",-1.1,-2,-3,-1
"803","802,""Oh, thank you!""",0.5,1,2,0
"804","803,Thank you ever so much for saving my life.",1.3,1,2,0
"805","804,""Dont speak of it, I beg of you, replied the Woodman.""",-0.75,-1,0,-1
"806","805,""I have no heart, you know, so I am careful to help all those who may need a friend, even if it happens to be only a mouse.""",1.05,0,4,2
"807","806,""Only a mouse! cried the little animal, indignantly.""",-2,-1,-2,0
"808","807,""Why, I am a Queenthe Queen of all the Field Mice!""",0,0,0,0
"809","808,""Oh, indeed, said the Woodman, making a bow.""",0,0,0,0
"810","809,""Therefore you have done a great deed, as well as a brave one, in saving my life, added the Queen.""",3,3,5,0
"811","810,""At that moment several mice were seen running up as fast as their little legs could carry them, and when they saw their Queen they exclaimed:""",0,1,0,0
"812","811,""Oh, your Majesty, we thought you would be killed!""",0,0,-3,1
"813","812,How did you manage to escape the great Wildcat?",0.65,1,2,0
"814","813,They all bowed so low to the little Queen that they almost stood upon their heads.",-0.25,0,0,0
"815","814,""This funny tin man, she answered, killed the Wildcat and saved my life.""",1.1,-2,3,-1
"816","815,""So hereafter you must all serve him, and obey his slightest wish.""",0.8,0,1,-1
"817","816,""We will! cried all the mice, in a shrill chorus.""",-1.5,-1,-2,0
"818","817,""And then they scampered in all directions, for Toto had awakened from his sleep, and seeing all these mice around him he gave one bark of delight and jumped right into the middle of the group.""",1.55,2,3,0
"819","818,""Toto had always loved to chase mice when he lived in Kansas, and he saw no harm in it.""",-0.25,0,0,-2
"820","819,""But the Tin Woodman caught the dog in his arms and held him tight, while he called to the mice, Come back!""",0,0,0,0
"821","820,Come back!",0,0,0,0
"822","821,Toto shall not hurt you.",-0.75,-1,-2,-1
"823","822,""At this the Queen of the Mice stuck her head out from underneath a clump of grass and asked, in a timid voice, Are you sure he will not bite us?""",-1.85,-2,-4,-3
"824","823,""I will not let him, said the Woodman; so do not be afraid.""",-0.75,-1,-2,-1
"825","824,""One by one the mice came creeping back, and Toto did not bark again, although he tried to get out of the Woodmans arms, and would have bitten him had he not known very well he was made of tin.""",0.2,0,0,-1
"826","825,Finally one of the biggest mice spoke.",0.4,0,0,0
"827","826,""Is there anything we can do, it asked, to repay you for saving the life of our Queen?""",0.9,0,0,1
"828","827,""Nothing that I know of, answered the Woodman; but the Scarecrow, who had been trying to think, but could not because his head was stuffed with straw, said, quickly, Oh, yes; you can save our friend, the Cowardly Lion, who is asleep in the poppy bed.""",1.2,-1,2,2
"829","828,A Lion! cried the little Queen.",-0.9,0,-2,1
"830","829,""Why, he would eat us all up.""",0.6,0,0,1
"831","830,""Oh, no, declared the Scarecrow; this Lion is a coward.""",-0.9,-1,-3,0
"832","831,Really?",0,0,0,0
"833","832,asked the Mouse.",0,0,0,0
